pl_name,matched,match_kind,master_lang_id,master_name,source_flags,extensions,in_pldb,in_linguist,in_wikipedia,in_esolang,in_hyperpolyglot,in_pygments,in_rosettacode,fuzzy_candidates
Batsh,False,,,,,,False,False,False,False,False,False,False,
Bau,False,,,,,,False,False,False,False,False,False,False,
BBC BASIC,False,,,,,,False,False,False,False,False,False,False,
BBN Lisp,False,,,,,,False,False,False,False,False,False,False,
BDS C,False,,,,,,False,False,False,False,False,False,False,
Beads,False,,,,,,False,False,False,False,False,False,False,
Bean,False,,,,,,False,False,False,False,False,False,False,
Bedwyr,False,,,,,,False,False,False,False,False,False,False,
Befunge-93,False,,,,,,False,False,False,False,False,False,False,
Befunge-98,False,,,,,,False,False,False,False,False,False,False,
Beluga,False,,,,,,False,False,False,False,False,False,False,
BennuGD,False,,,,,,False,False,False,False,False,False,False,
Bertrand,False,,,,,,False,False,False,False,False,False,False,
Beryl,False,,,,,,False,False,False,False,False,False,False,
BESM-6 Assembly,False,,,,,,False,False,False,False,False,False,False,
Beta BASIC,False,,,,,,False,False,False,False,False,False,False,
Betty,False,,,,,,False,False,False,False,False,False,False,
BGScript,False,,,,,,False,False,False,False,False,False,False,bscript
Bhailang,False,,,,,,False,False,False,False,False,False,False,
Biml,False,,,,,,False,False,False,False,False,False,False,
BioNetGen Language,False,,,,,,False,False,False,False,False,False,False,
BIP,False,,,,,,False,False,False,False,False,False,False,
Birch,False,,,,,,False,False,False,False,False,False,False,
Bistro,False,,,,,,False,False,False,False,False,False,False,
Bitcoin Script,False,,,,,,False,False,False,False,False,False,False,
BiwaScheme,False,,,,,,False,False,False,False,False,False,False,
Blackbird,False,,,,,,False,False,False,False,False,False,False,
BlackBox Component Builder,False,,,,,,False,False,False,False,False,False,False,
BlackBox Component Pascal,False,,,,,,False,False,False,False,False,False,False,
Blang,False,,,,,,False,False,False,False,False,False,False,
Blassic,False,,,,,,False,False,False,False,False,False,False,
Blimp,False,,,,,,False,False,False,False,False,False,False,
BLISS-10,False,,,,,,False,False,False,False,False,False,False,
BLISS-11,False,,,,,,False,False,False,False,False,False,False,
BLISS-16,False,,,,,,False,False,False,False,False,False,False,
BLISS-32,False,,,,,,False,False,False,False,False,False,False,
BLISS-36,False,,,,,,False,False,False,False,False,False,False,
BLISS-64,False,,,,,,False,False,False,False,False,False,False,
BLITZ,False,,,,,,False,False,False,False,False,False,False,
Blitz BASIC,False,,,,,,False,False,False,False,False,False,False,blitzbasic
Blockdiag,False,,,,,,False,False,False,False,False,False,False,
BLODI,False,,,,,,False,False,False,False,False,False,False,
BLOG,False,,,,,,False,False,False,False,False,False,False,
Blueprint,False,,,,,,False,False,False,False,False,False,False,blueprints
Bluespec SystemVerilog,False,,,,,,False,False,False,False,False,False,False,
BNR Prolog,False,,,,,,False,False,False,False,False,False,False,
BON,False,,,,,,False,False,False,False,False,False,False,
Bone Lisp,False,,,,,,False,False,False,False,False,False,False,
Boomerang,False,,,,,,False,False,False,False,False,False,False,Boomerlang
Borgo,False,,,,,,False,False,False,False,False,False,False,
Bosatsu,False,,,,,,False,False,False,False,False,False,False,
Bossa,False,,,,,,False,False,False,False,False,False,False,
Bourne Shell,False,,,,,,False,False,False,False,False,False,False,
Bournegol,False,,,,,,False,False,False,False,False,False,False,
BoxLang,False,,,,,,False,False,False,False,False,False,False,
BPFtrace,False,,,,,,False,False,False,False,False,False,False,
BProlog,False,,,,,,False,False,False,False,False,False,False,prolog
Bracmat,False,,,,,,False,False,False,False,False,False,False,
Braid,False,,,,,,False,False,False,False,False,False,False,
Brat,False,,,,,,False,False,False,False,False,False,False,
Bricklayer,False,,,,,,False,False,False,False,False,False,False,
Bril,False,,,,,,False,False,False,False,False,False,False,
Brython,False,,,,,,False,False,False,False,False,False,False,bython
BUGS,False,,,,,,False,False,False,False,False,False,False,
Burroughs Extended Algol,False,,,,,,False,False,False,False,False,False,False,
Business BASIC,False,,,,,,False,False,False,False,False,False,False,business-basic
BVM,False,,,,,,False,False,False,False,False,False,False,
bwBASIC,False,,,,,,False,False,False,False,False,False,False,
Bywater BASIC,False,,,,,,False,False,False,False,False,False,False,bywater-basic
C Shell,False,,,,,,False,False,False,False,False,False,False,
C++/CLI,False,,,,,,False,False,False,False,False,False,False,
C++/CX,False,,,,,,False,False,False,False,False,False,False,
C--,False,,,,,,False,False,False,False,False,False,False,
C/AL,False,,,,,,False,False,False,False,False,False,False,
C0,False,,,,,,False,False,False,False,False,False,False,
Caché Basic,False,,,,,,False,False,False,False,False,False,False,
Cadabra,False,,,,,,False,False,False,False,False,False,False,
Cadence SKILL,False,,,,,,False,False,False,False,False,False,False,cadence-skill
Caja,False,,,,,,False,False,False,False,False,False,False,
Cakelisp,False,,,,,,False,False,False,False,False,False,False,
CakeML,False,,,,,,False,False,False,False,False,False,False,
CAL Actor Language,False,,,,,,False,False,False,False,False,False,False,
Calyx,False,,,,,,False,False,False,False,False,False,False,
Cambridge Autocode,False,,,,,,False,False,False,False,False,False,False,
Caml Light,False,,,,,,False,False,False,False,False,False,False,
Camlp4,False,,,,,,False,False,False,False,False,False,False,
Candid,False,,,,,,False,False,False,False,False,False,False,
Canvas,False,,,,,,False,False,False,False,False,False,False,
CAOS,False,,,,,,False,False,False,False,False,False,False,
CARDIAC,False,,,,,,False,False,False,False,False,False,False,
Carol,False,,,,,,False,False,False,False,False,False,False,
Casanova,False,,,,,,False,False,False,False,False,False,False,
Cascalog,False,,,,,,False,False,False,False,False,False,False,
Casio BASIC,False,,,,,,False,False,False,False,False,False,False,
CASL,False,,,,,,False,False,False,False,False,False,False,
CASL II,False,,,,,,False,False,False,False,False,False,False,
Cassandra Query Language,False,,,,,,False,False,False,False,False,False,False,
Catrobat,False,,,,,,False,False,False,False,False,False,False,
CCured,False,,,,,,False,False,False,False,False,False,False,
CD++,False,,,,,,False,False,False,False,False,False,False,C++
CDC 6600 Assembly,False,,,,,,False,False,False,False,False,False,False,
CDuce,False,,,,,,False,False,False,False,False,False,False,
Cedille,False,,,,,,False,False,False,False,False,False,False,
CEL,False,,,,,,False,False,False,False,False,False,False,
Cell BE Assembly,False,,,,,,False,False,False,False,False,False,False,
Ceptre,False,,,,,,False,False,False,False,False,False,False,
Cerberus X,False,,,,,,False,False,False,False,False,False,False,
Cforall,False,,,,,,False,False,False,False,False,False,False,forall
Chalice,False,,,,,,False,False,False,False,False,False,False,
Chalk,False,,,,,,False,False,False,False,False,False,False,
Charm++,False,,,,,,False,False,False,False,False,False,False,
ChatScript,False,,,,,,False,False,False,False,False,False,False,
Checked C,False,,,,,,False,False,False,False,False,False,False,
Cheddar,False,,,,,,False,False,False,False,False,False,False,
Chez Scheme,False,,,,,,False,False,False,False,False,False,False,
Chibi-Scheme,False,,,,,,False,False,False,False,False,False,False,
Chicken Scheme,False,,,,,,False,False,False,False,False,False,False,
CHIP,False,,,,,,False,False,False,False,False,False,False,
ChipmunkBasic,False,,,,,,False,False,False,False,False,False,False,chipmunk-basic
ChocoPy,False,,,,,,False,False,False,False,False,False,False,
ChoiceScript,False,,,,,,False,False,False,False,False,False,False,
Choral,False,,,,,,False,False,False,False,False,False,False,
Church,False,,,,,,False,False,False,False,False,False,False,
Ciao,False,,,,,,False,False,False,False,False,False,False,
Ciao Prolog,False,,,,,,False,False,False,False,False,False,False,
Cilk Plus,False,,,,,,False,False,False,False,False,False,False,
Circle,False,,,,,,False,False,False,False,False,False,False,Circles
CircuitPython,False,,,,,,False,False,False,False,False,False,False,
Circus,False,,,,,,False,False,False,False,False,False,False,
cKanren,False,,,,,,False,False,False,False,False,False,False,
CL,False,,,,,,False,False,False,False,False,False,False,
Clafer,False,,,,,,False,False,False,False,False,False,False,
Clasp,False,,,,,,False,False,False,False,False,False,False,
Clingo,False,,,,,,False,False,False,False,False,False,False,
Clio,False,,,,,,False,False,False,False,False,False,False,
Clite,False,,,,,,False,False,False,False,False,False,False,
Clojerl,False,,,,,,False,False,False,False,False,False,False,
Clozure CL,False,,,,,,False,False,False,False,False,False,False,
CLP(R),False,,,,,,False,False,False,False,False,False,False,
Cmajor,False,,,,,,False,False,False,False,False,False,False,
Cminor,False,,,,,,False,False,False,False,False,False,False,
CML,False,,,,,,False,False,False,False,False,False,False,
CMPL,False,,,,,,False,False,False,False,False,False,False,
CMS EXEC,False,,,,,,False,False,False,False,False,False,False,
CMS Pipelines,False,,,,,,False,False,False,False,False,False,False,cms-pipelines
CMUCL,False,,,,,,False,False,False,False,False,False,False,
CnC,False,,,,,,False,False,False,False,False,False,False,
CnC++,False,,,,,,False,False,False,False,False,False,False,
Co-array Fortran,False,,,,,,False,False,False,False,False,False,False,
Coalton,False,,,,,,False,False,False,False,False,False,False,
Coarray Fortran,False,,,,,,False,False,False,False,False,False,False,
CoCoA,False,,,,,,False,False,False,False,False,False,False,
Cogent,False,,,,,,False,False,False,False,False,False,False,
Cola,False,,,,,,False,False,False,False,False,False,False,
ColdC,False,,,,,,False,False,False,False,False,False,False,
Colm,False,,,,,,False,False,False,False,False,False,False,
Color BASIC,False,,,,,,False,False,False,False,False,False,False,
Combined Programming Language,False,,,,,,False,False,False,False,False,False,False,
Comega,False,,,,,,False,False,False,False,False,False,False,
Comet,False,,,,,,False,False,False,False,False,False,False,
COMIT II,False,,,,,,False,False,False,False,False,False,False,
Common Intermediate Language,False,,,,,,False,False,False,False,False,False,False,
Common Music,False,,,,,,False,False,False,False,False,False,False,
COMPACT II,False,,,,,,False,False,False,False,False,False,False,
COMPASS,False,,,,,,False,False,False,False,False,False,False,
COMPOOL,False,,,,,,False,False,False,False,False,False,False,
Compositional C++,False,,,,,,False,False,False,False,False,False,False,
Concurrent C,False,,,,,,False,False,False,False,False,False,False,
Concurrent Clean,False,,,,,,False,False,False,False,False,False,False,
Concurrent Euclid,False,,,,,,False,False,False,False,False,False,False,
Concurrent ML,False,,,,,,False,False,False,False,False,False,False,concurrent-ml
Concurrent Pascal,False,,,,,,False,False,False,False,False,False,False,concurrent-pascal
Concurrent Prolog,False,,,,,,False,False,False,False,False,False,False,concurrent-prolog
ConcurrentML,False,,,,,,False,False,False,False,False,False,False,concurrent-ml
Consize,False,,,,,,False,False,False,False,False,False,False,
Constraint Handling Rules,False,,,,,,False,False,False,False,False,False,False,
ConTeXt,False,,,,,,False,False,False,False,False,False,False,Con-Text
Context Free,False,,,,,,False,False,False,False,False,False,False,
Control Language,False,,,,,,False,False,False,False,False,False,False,
Convex,False,,,,,,False,False,False,False,False,False,False,
cooltt,False,,,,,,False,False,False,False,False,False,False,
Copperhead,False,,,,,,False,False,False,False,False,False,False,
Coral 66,False,,,,,,False,False,False,False,False,False,False,
CORAL 68,False,,,,,,False,False,False,False,False,False,False,
CORAL-66,False,,,,,,False,False,False,False,False,False,False,
Core War,False,,,,,,False,False,False,False,False,False,False,
CoreASM,False,,,,,,False,False,False,False,False,False,False,
Corman Lisp,False,,,,,,False,False,False,False,False,False,False,
Coursewriter,False,,,,,,False,False,False,False,False,False,False,
Cowgol,False,,,,,,False,False,False,False,False,False,False,
Cpp2,False,,,,,,False,False,False,False,False,False,False,
cQASM,False,,,,,,False,False,False,False,False,False,False,
Crayon,False,,,,,,False,False,False,False,False,False,False,
Creol,False,,,,,,False,False,False,False,False,False,False,
Crochet,False,,,,,,False,False,False,False,False,False,False,
Crumb,False,,,,,,False,False,False,False,False,False,False,
csh,False,,,,,,False,False,False,False,False,False,False,
CSSL,False,,,,,,False,False,False,False,False,False,False,
CubeScript,False,,,,,,False,False,False,False,False,False,False,
Cubical,False,,,,,,False,False,False,False,False,False,False,
cubicaltt,False,,,,,,False,False,False,False,False,False,False,
CUDA C++,False,,,,,,False,False,False,False,False,False,False,
Cuis,False,,,,,,False,False,False,False,False,False,False,
Cuis Smalltalk,False,,,,,,False,False,False,False,False,False,False,
CUPL,False,,,,,,False,False,False,False,False,False,False,
Cur,False,,,,,,False,False,False,False,False,False,False,
CWIC,False,,,,,,False,False,False,False,False,False,False,
Cyan,False,,,,,,False,False,False,False,False,False,False,
Dahlia,False,,,,,,False,False,False,False,False,False,False,
Dao,False,,,,,,False,False,False,False,False,False,False,
DAPLEX,False,,,,,,False,False,False,False,False,False,False,adaplex
Dartmouth BASIC,False,,,,,,False,False,False,False,False,False,False,dartmouth-basic
Darwin,False,,,,,,False,False,False,False,False,False,False,
daScript,False,,,,,,False,False,False,False,False,False,False,dscript
DataEase,False,,,,,,False,False,False,False,False,False,False,
Dataphor,False,,,,,,False,False,False,False,False,False,False,
DATR,False,,,,,,False,False,False,False,False,False,False,
Dawn,False,,,,,,False,False,False,False,False,False,False,
dBASE III,False,,,,,,False,False,False,False,False,False,False,
DCE IDL,False,,,,,,False,False,False,False,False,False,False,
DDlog,False,,,,,,False,False,False,False,False,False,False,
Decaf,False,,,,,,False,False,False,False,False,False,False,
Decimal BASIC,False,,,,,,False,False,False,False,False,False,False,
DEDAL,False,,,,,,False,False,False,False,False,False,False,
Dedalus,False,,,,,,False,False,False,False,False,False,False,
Deja Vu,False,,,,,,False,False,False,False,False,False,False,
Delight,False,,,,,,False,False,False,False,False,False,False,
Deluge,False,,,,,,False,False,False,False,False,False,False,
Dependent ML,False,,,,,,False,False,False,False,False,False,False,
DERIVE,False,,,,,,False,False,False,False,False,False,False,
Derw,False,,,,,,False,False,False,False,False,False,False,
DesignScript,False,,,,,,False,False,False,False,False,False,False,
DEUCE Autocode,False,,,,,,False,False,False,False,False,False,False,
Dezyne,False,,,,,,False,False,False,False,False,False,False,
dfsch,False,,,,,,False,False,False,False,False,False,False,
DG/L,False,,,,,,False,False,False,False,False,False,False,
DGD,False,,,,,,False,False,False,False,False,False,False,
Diby,False,,,,,,False,False,False,False,False,False,False,
Dictu,False,,,,,,False,False,False,False,False,False,False,
Diderot,False,,,,,,False,False,False,False,False,False,False,
DIESEL,False,,,,,,False,False,False,False,False,False,False,
Differential Datalog,False,,,,,,False,False,False,False,False,False,False,differential-datalog
Disciple,False,,,,,,False,False,False,False,False,False,False,
Disco,False,,,,,,False,False,False,False,False,False,False,
Discus,False,,,,,,False,False,False,False,False,False,False,
Distributed Processes,False,,,,,,False,False,False,False,False,False,False,distributed-processes
DIV,False,,,,,,False,False,False,False,False,False,False,
DIV Games Studio,False,,,,,,False,False,False,False,False,False,False,
DL/I,False,,,,,,False,False,False,False,False,False,False,
DLV,False,,,,,,False,False,False,False,False,False,False,
DLX,False,,,,,,False,False,False,False,False,False,False,
Dolphin Smalltalk,False,,,,,,False,False,False,False,False,False,False,
DPC++,False,,,,,,False,False,False,False,False,False,False,
DQL,False,,,,,,False,False,False,False,False,False,False,
Draco,False,,,,,,False,False,False,False,False,False,False,
Dragon 32 BASIC,False,,,,,,False,False,False,False,False,False,False,
Dream Maker,False,,,,,,False,False,False,False,False,False,False,
DreamMaker,False,,,,,,False,False,False,False,False,False,False,
Dremel,False,,,,,,False,False,False,False,False,False,False,
Drools,False,,,,,,False,False,False,False,False,False,False,
DSSL2,False,,,,,,False,False,False,False,False,False,False,
DSSP,False,,,,,,False,False,False,False,False,False,False,
DSSSL,False,,,,,,False,False,False,False,False,False,False,
Duby,False,,,,,,False,False,False,False,False,False,False,
Duktape,False,,,,,,False,False,False,False,False,False,False,
Dusa,False,,,,,,False,False,False,False,False,False,False,
DVE,False,,,,,,False,False,False,False,False,False,False,
DXL,False,,,,,,False,False,False,False,False,False,False,
Dyalect,False,,,,,,False,False,False,False,False,False,False,
Dyalog,False,,,,,,False,False,False,False,False,False,False,
Dyalog APL,False,,,,,,False,False,False,False,False,False,False,
Dyna,False,,,,,,False,False,False,False,False,False,False,
Dynace,False,,,,,,False,False,False,False,False,False,False,
DYNAMO II,False,,,,,,False,False,False,False,False,False,False,
Dyon,False,,,,,,False,False,False,False,False,False,False,
Dzaima APL,False,,,,,,False,False,False,False,False,False,False,
Déjà Vu,False,,,,,,False,False,False,False,False,False,False,
E4X,False,,,,,,False,False,False,False,False,False,False,
Earl Grey,False,,,,,,False,False,False,False,False,False,False,
Easel,False,,,,,,False,False,False,False,False,False,False,
EASYCODER,False,,,,,,False,False,False,False,False,False,False,
EasyLang,False,,,,,,False,False,False,False,False,False,False,
eBPF,False,,,,,,False,False,False,False,False,False,False,
ECAP,False,,,,,,False,False,False,False,False,False,False,
Ecere,False,,,,,,False,False,False,False,False,False,False,
EchoLisp,False,,,,,,False,False,False,False,False,False,False,
Eclair,False,,,,,,False,False,False,False,False,False,False,
ECMAScript,False,,,,,,False,False,False,False,False,False,False,
Ecstasy,False,,,,,,False,False,False,False,False,False,False,
Edinburgh IMP,False,,,,,,False,False,False,False,False,False,False,edinburgh-imp
Edinburgh ML,False,,,,,,False,False,False,False,False,False,False,
EDSAC,False,,,,,,False,False,False,False,False,False,False,
Eel,False,,,,,,False,False,False,False,False,False,False,
Eero,False,,,,,,False,False,False,False,False,False,False,
Efene,False,,,,,,False,False,False,False,False,False,False,
eForth,False,,,,,,False,False,False,False,False,False,False,reforth
Egglog,False,,,,,,False,False,False,False,False,False,False,
EK9,False,,,,,,False,False,False,False,False,False,False,
El-76,False,,,,,,False,False,False,False,False,False,False,
Ela,False,,,,,,False,False,False,False,False,False,False,
Elchemy,False,,,,,,False,False,False,False,False,False,False,
Electrum,False,,,,,,False,False,False,False,False,False,False,
ELI,False,,,,,,False,False,False,False,False,False,False,
Eliom,False,,,,,,False,False,False,False,False,False,False,
Elisa,False,,,,,,False,False,False,False,False,False,False,
ElixirScript,False,,,,,,False,False,False,False,False,False,False,
Elk,False,,,,,,False,False,False,False,False,False,False,
ELLA,False,,,,,,False,False,False,False,False,False,False,
Elliott ALGOL,False,,,,,,False,False,False,False,False,False,False,elliott-algol
Elliott Autocode,False,,,,,,False,False,False,False,False,False,False,
Elsa,False,,,,,,False,False,False,False,False,False,False,
Embeddable Common Lisp,False,,,,,,False,False,False,False,False,False,False,
Embedded C++,False,,,,,,False,False,False,False,False,False,False,
Embryo,False,,,,,,False,False,False,False,False,False,False,
Emfrp,False,,,,,,False,False,False,False,False,False,False,
EndBASIC,False,,,,,,False,False,False,False,False,False,False,
English Electric Autocode,False,,,,,,False,False,False,False,False,False,False,
Enkel,False,,,,,,False,False,False,False,False,False,False,
Enterprise,False,,,,,,False,False,False,False,False,False,False,
Eo,False,,,,,,False,False,False,False,False,False,False,
EOL,False,,,,,,False,False,False,False,False,False,False,
ePerl,False,,,,,,False,False,False,False,False,False,False,
Epic,False,,,,,,False,False,False,False,False,False,False,
Epoch,False,,,,,,False,False,False,False,False,False,False,
EQUEL,False,,,,,,False,False,False,False,False,False,False,
ERDE,False,,,,,,False,False,False,False,False,False,False,
Ergo,False,,,,,,False,False,False,False,False,False,False,
ERGOL,False,,,,,,False,False,False,False,False,False,False,
ErgoScript,False,,,,,,False,False,False,False,False,False,False,
Erjang,False,,,,,,False,False,False,False,False,False,False,
Erlog,False,,,,,,False,False,False,False,False,False,False,
Es,False,,,,,,False,False,False,False,False,False,False,
Escher,False,,,,,,False,False,False,False,False,False,False,
Espresso,False,,,,,,False,False,False,False,False,False,False,
Espruino,False,,,,,,False,False,False,False,False,False,False,
ESQL,False,,,,,,False,False,False,False,False,False,False,
Essence,False,,,,,,False,False,False,False,False,False,False,
Essence Prime,False,,,,,,False,False,False,False,False,False,False,
Estelle,False,,,,,,False,False,False,False,False,False,False,
Eukleides,False,,,,,,False,False,False,False,False,False,False,
