canonical_name,lang_id,source_flags,extensions,source_count,alias_count,in_hyperpolyglot,in_pygments,in_rosettacode
apollo-guidance-computer,apollo-guidance-computer,esolang;linguist;pldb,.agc,3,1,True,False,False
gemini,gemini,esolang;linguist;pldb,.gmi,3,2,False,False,False
textile,textile,esolang;linguist;pldb,.textile,3,1,True,False,False
asp.net,asp.net,linguist;pldb,.asax .ascx .ashx .asmx .aspx .axd,2,3,False,True,True
xml,xml,linguist;pldb,.adml .admx .ant .axaml .axml .builds .ccproj .ccxml .clixml .cproject .cscfg .csdef .csl .csproj .ct .depproj .dita .ditamap .ditaval .dll.config .dotsettings .filters .fsproj .fxml .glade .gml .gmx .gpx .grxml .gst .hzp .iml .ivy .jelly .jsproj .kml .launch .mdpolicy .mjml .mm .mod .mojo .mxml .natvis .ncl .ndproj .nproj .nuspec .odd .osm .pkgproj .pluginspec .proj .props .ps1xml .psc1 .pt .pubxml .qhelp .rdf .res .resx .rs .rss .sch .scxml .sfproj .shproj .slnx .srdf .storyboard .sublime-snippet .sw .targets .tml .ts .tsx .typ .ui .urdf .ux .vbproj .vcxproj .vsixmanifest .vssettings .vstemplate .vxml .wixproj .workflow .wsdl .wsf .wxi .wxl .wxs .x3d .xacro .xaml .xib .xlf .xliff .xmi .xml .xml.dist .xmp .xproj .xsd .xspec .xul .zcml,2,4,True,True,False
zone,zone,esolang;pldb,,2,1,False,True,False
bird,bird,esolang;pldb,,2,1,False,False,True
calc,calc,esolang;pldb,,2,1,False,False,True
parrot-assembly,parrot-assembly,linguist;pldb,.pasm,2,2,True,False,True
star,star,linguist;pldb,.star,2,1,False,False,True
zed,zed,esolang;pldb,,2,1,False,False,True
aardvark,aardvark,esolang;pldb,,2,1,False,False,False
acl,acl,esolang;pldb,,2,1,False,False,False
adobe-font-metrics,adobe-font-metrics,linguist;pldb,.afm,2,5,True,False,False
agl,agl,esolang;pldb,,2,1,False,False,False
ale,ale,esolang;pldb,,2,1,False,False,False
algol-68,algol-68,pldb;wikipedia,,2,1,False,False,False
alpine-abuild,alpine-abuild,linguist;pldb,,2,3,True,False,False
ant-build-system,ant-build-system,linguist;pldb,,2,1,True,False,False
api-blueprint,api-blueprint,linguist;pldb,.apib,2,1,True,False,False
ascii,ascii,esolang;pldb,,2,1,False,False,False
asdf,asdf,esolang;pldb,,2,1,False,False,False
assembly-language,assembly-language,esolang;pldb,,2,1,False,False,False
atom,atom,esolang;pldb,,2,1,False,False,False
back,back,esolang;pldb,,2,1,False,False,False
base64,base64,esolang;pldb,,2,1,False,False,False
bio,bio,esolang;pldb,,2,1,False,False,False
bitcoin,bitcoin,esolang;pldb,,2,1,False,False,False
black,black,esolang;pldb,,2,1,False,False,False
blank,blank,esolang;pldb,,2,1,False,False,False
broccoli,broccoli,esolang;pldb,,2,1,False,False,False
bullfrog,bullfrog,esolang;pldb,,2,1,False,False,False
c-flat,c-flat,esolang;pldb,,2,1,False,False,False
cantor,cantor,esolang;pldb,,2,1,False,False,False
capsule,capsule,esolang;pldb,,2,1,False,False,False
capybara,capybara,esolang;pldb,,2,1,False,False,False
cartocss,cartocss,linguist;pldb,.mss,2,2,True,False,False
checkout,checkout,esolang;pldb,,2,1,False,False,False
chimera,chimera,esolang;pldb,,2,1,False,False,False
closure-templates,closure-templates,linguist;pldb,.soy,2,2,True,False,False
cloud-firestore-security-rules,cloud-firestore-security-rules,linguist;pldb,,2,1,True,False,False
collada,collada,linguist;pldb,.dae,2,1,True,False,False
"'Colors',",colors,esolang;pldb,,2,1,False,False,False
conll-u,conll-u,linguist;pldb,.conll .conllu,2,3,True,False,False
corbascript,corbascript,pldb;wikipedia,,2,1,False,False,False
creole,creole,linguist;pldb,.creole,2,1,True,False,False
csl,csl,esolang;pldb,,2,1,False,False,False
cson,cson,linguist;pldb,.cson,2,1,True,False,False
cube,cube,esolang;pldb,,2,1,False,False,False
cupid,cupid,esolang;pldb,,2,1,False,False,False
dog,dog,esolang;pldb,,2,1,False,False,False
domino,domino,esolang;pldb,,2,1,False,False,False
drol,drol,esolang;pldb,,2,1,False,False,False
eagle,eagle,linguist;pldb,.brd .sch,2,1,True,False,False
easy,easy,esolang;pldb,,2,1,False,False,False
easybuild,easybuild,linguist;pldb,.eb,2,1,True,False,False
Edge,edge,esolang;linguist,.edge,2,1,False,False,False
edje-data-collection,edje-data-collection,linguist;pldb,.edc,2,1,True,False,False
edn,edn,linguist;pldb,.edn,2,1,True,False,False
emoticon,emoticon,esolang;pldb,,2,1,False,False,False
entropy,entropy,esolang;pldb,,2,1,False,False,False
etc,etc,esolang;pldb,,2,1,False,False,False
ez,ez,esolang;pldb,,2,1,False,False,False
far,far,esolang;pldb,,2,1,False,False,False
figlet-font,figlet-font,linguist;pldb,.flf,2,2,True,False,False
filebench-wml,filebench-wml,linguist;pldb,.f,2,1,True,False,False
floorplan,floorplan,esolang;pldb,,2,1,False,False,False
flowcode,flowcode,pldb;wikipedia,,2,1,False,False,False
fold,fold,esolang;pldb,,2,1,False,False,False
foo,foo,esolang;pldb,,2,1,False,False,False
fork,fork,esolang;pldb,,2,1,False,False,False
fun,fun,esolang;pldb,,2,1,False,False,False
fx-87,fx-87,pldb;wikipedia,,2,1,False,False,False
gdb,gdb,linguist;pldb,.gdb .gdbinit,2,1,True,False,False
gecko,gecko,esolang;pldb,,2,1,False,False,False
generic,generic,esolang;pldb,,2,1,False,False,False
git-config,git-config,linguist;pldb,.gitconfig,2,3,True,False,False
glyph-bitmap-distribution-format,glyph-bitmap-distribution-format,linguist;pldb,.bdf,2,1,True,False,False
gold,gold,esolang;pldb,,2,1,False,False,False
gopher,gopher,esolang;pldb,,2,1,False,False,False
graph-modeling-language,graph-modeling-language,linguist;pldb,.gml,2,1,True,False,False
grin,grin,esolang;pldb,,2,1,False,False,False
hello,hello,esolang;pldb,,2,1,False,False,False
hurl,hurl,linguist;pldb,.hurl,2,1,False,False,False
icarus,icarus,esolang;pldb,,2,1,False,False,False
image,image,esolang;pldb,,2,1,False,False,False
inc,inc,esolang;pldb,,2,1,False,False,False
ircis,ircis,esolang;pldb,,2,1,False,False,False
jeeves,jeeves,esolang;pldb,,2,1,False,False,False
jison,jison,linguist;pldb,.jison,2,1,True,False,False
jison-lex,jison-lex,linguist;pldb,.jisonlex,2,1,True,False,False
jupyter-notebook,jupyter-notebook,linguist;pldb,.ipynb,2,2,True,False,False
kate,kate,esolang;pldb,,2,1,False,False,False
kiss,kiss,esolang;pldb,,2,1,False,False,False
knight,knight,esolang;pldb,,2,1,False,False,False
kvikkalkul,kvikkalkul,esolang;pldb,,2,1,False,False,False
lain,lain,esolang;pldb,,2,1,False,False,False
lambda,lambda,esolang;pldb,,2,1,False,False,False
language-h,language-h,pldb;wikipedia,,2,1,False,False,False
lazy-k,lazy-k,esolang;pldb,,2,1,False,False,False
levy,levy,esolang;pldb,,2,1,False,False,False
libra,libra,esolang;pldb,,2,1,False,False,False
linker-script,linker-script,linguist;pldb,.ld .lds .x,2,1,True,False,False
literate-coffeescript,literate-coffeescript,linguist;pldb,.coffee.md .litcoffee,2,2,True,False,False
loops,loops,esolang;pldb,,2,1,False,False,False
lpl,lpl,esolang;pldb,,2,1,False,False,False
m4sugar,m4sugar,linguist;pldb,.m4,2,2,True,False,False
macro,macro,esolang;pldb,,2,1,False,False,False
magritte,magritte,esolang;pldb,,2,1,False,False,False
maven-pom,maven-pom,linguist;pldb,,2,1,True,False,False
mewmew,mewmew,esolang;pldb,,2,1,False,False,False
minecraft,minecraft,esolang;pldb,,2,1,False,False,False
module-management-system,module-management-system,linguist;pldb,.mmk .mms,2,1,True,False,False
morse-code,morse-code,esolang;pldb,,2,1,False,False,False
mountain,mountain,esolang;pldb,,2,1,False,False,False
mtml,mtml,linguist;pldb,.mtml,2,1,True,False,False
musys,musys,esolang;pldb,,2,1,False,False,False
n,n,esolang;pldb,,2,1,False,False,False
netlinx,netlinx,linguist;pldb,.axi .axs,2,1,True,False,False
newton,newton,esolang;pldb,,2,1,False,False,False
ninja,ninja,linguist;pldb,.ninja,2,1,True,False,False
none,none,esolang;pldb,,2,1,False,False,False
note,note,esolang;pldb,,2,1,False,False,False
numpad,numpad,esolang;pldb,,2,1,False,False,False
o,o,esolang;pldb,,2,1,False,False,False
obscure,obscure,esolang;pldb,,2,1,False,False,False
om,om,esolang;pldb,,2,1,False,False,False
opentype-feature-file,opentype-feature-file,linguist;pldb,.fea,2,2,True,False,False
pancode,pancode,esolang;pldb,,2,1,False,False,False
parenthetic,parenthetic,esolang;pldb,,2,1,False,False,False
pep8,pep8,linguist;pldb,.pep,2,1,True,False,False
pi-calculus,pi-calculus,esolang;pldb,,2,1,False,False,False
pit,pit,esolang;pldb,,2,1,False,False,False
pl-m,pl-m,pldb;wikipedia,,2,1,False,False,False
playground,playground,esolang;pldb,,2,1,False,False,False
please,please,esolang;pldb,,2,1,False,False,False
pod,pod,linguist;pldb,.pod,2,1,True,False,False
postcss,postcss,linguist;pldb,.pcss .postcss,2,1,True,False,False
psyche,psyche,esolang;pldb,,2,1,False,False,False
push,push,esolang;pldb,,2,1,False,False,False
pv-wave,pv-wave,pldb;wikipedia,,2,1,False,False,False
quake,quake,linguist;pldb,,2,1,True,False,False
rainbow,rainbow,esolang;pldb,,2,1,False,False,False
rbs,rbs,linguist;pldb,.rbs,2,1,False,False,False
rdoc,rdoc,linguist;pldb,.rdoc,2,1,True,False,False
refer,refer,esolang;pldb,,2,1,False,False,False
Regular Expression,regular-expression,esolang;linguist,.regex .regexp,2,3,True,False,False
rmarkdown,rmarkdown,linguist;pldb,.qmd .rmd,2,1,True,False,False
robots.txt,robots.txt,linguist;pldb,,2,3,False,False,False
roop,roop,esolang;pldb,,2,1,False,False,False
rouge,rouge,linguist;pldb,.rg,2,1,True,False,False
ru,ru,esolang;pldb,,2,1,False,False,False
scan,scan,esolang;pldb,,2,1,False,False,False
school,school,esolang;pldb,,2,1,False,False,False
sclipting,sclipting,esolang;pldb,,2,1,False,False,False
scoop,scoop,esolang;pldb,,2,1,False,False,False
scroll,scroll,esolang;pldb,,2,1,False,False,False
semicolon,semicolon,esolang;pldb,,2,1,False,False,False
sespool,sespool,esolang;pldb,,2,1,False,False,False
shaderlab,shaderlab,linguist;pldb,.shader,2,1,True,False,False
sheep,sheep,esolang;pldb,,2,1,False,False,False
shoe,shoe,esolang;pldb,,2,1,False,False,False
simoji,simoji,esolang;pldb,,2,1,False,False,False
simple,simple,esolang;pldb,,2,1,False,False,False
simplescript,simplescript,esolang;pldb,,2,1,False,False,False
smile,smile,esolang;pldb,,2,1,False,False,False
smt,smt,linguist;pldb,.smt .smt2 .z3,2,1,True,False,False
snowman,snowman,esolang;pldb,,2,1,False,False,False
sophie,sophie,esolang;pldb,,2,1,False,False,False
spil,spil,esolang;pldb,,2,1,False,False,False
spline-font-database,spline-font-database,linguist;pldb,.sfd,2,1,True,False,False
srecode-template,srecode-template,linguist;pldb,.srt,2,1,True,False,False
stacklang,stacklang,esolang;pldb,,2,1,False,False,False
staple,staple,esolang;pldb,,2,1,False,False,False
stl,stl,linguist;pldb,.stl,2,3,False,False,False
ston,ston,linguist;pldb,.ston,2,1,True,False,False
str,str,esolang;pldb,,2,1,False,False,False
String,string,esolang;pldb,,2,1,False,False,False
structured-text,structured-text,pldb;wikipedia,,2,1,False,False,False
sub,sub,esolang;pldb,,2,1,False,False,False
subrip-text,subrip-text,linguist;pldb,.srt,2,1,True,False,False
sugarss,sugarss,linguist;pldb,.sss,2,1,True,False,False
svg,svg,linguist;pldb,.svg,2,1,True,False,False
sweave,sweave,linguist;pldb,.rnw,2,1,False,False,False
tab,tab,esolang;pldb,,2,1,False,False,False
taktentus,taktentus,esolang;pldb,,2,1,False,False,False
tarot,tarot,esolang;pldb,,2,1,False,False,False
tcc,tcc,esolang;pldb,,2,1,False,False,False
tetra,tetra,esolang;pldb,,2,1,False,False,False
tla,tla,linguist;pldb,.tla,2,1,True,False,False
toadskin,toadskin,esolang;pldb,,2,1,False,False,False
toi,toi,esolang;pldb,,2,1,False,False,False
truck,truck,esolang;pldb,,2,1,False,False,False
tscript,tscript,esolang;pldb,,2,1,False,False,False
tsl,tsl,esolang;pldb,,2,1,False,False,False
tuple-space,tuple-space,pldb;wikipedia,,2,1,False,False,False
twoducks,twoducks,esolang;pldb,,2,1,False,False,False
txt,txt,esolang;pldb,,2,1,False,False,False
type-language,type-language,linguist;pldb,.tl,2,2,True,False,False
u,u,esolang;pldb,,2,1,False,False,False
unicode,unicode,esolang;pldb,,2,1,False,False,False
unicorn,unicorn,esolang;pldb,,2,1,False,False,False
uno,uno,linguist;pldb,.uno,2,1,True,False,False
vtl,vtl,esolang;pldb,,2,1,False,False,False
w,w,esolang;pldb,,2,1,False,False,False
wasm,wasm,esolang;pldb,,2,1,False,False,False
wavefront-material,wavefront-material,linguist;pldb,.mtl,2,1,True,False,False
wavefront-object,wavefront-object,linguist;pldb,.obj,2,1,True,False,False
x-bitmap,x-bitmap,linguist;pldb,.xbm,2,2,True,False,False
x-font-directory-index,x-font-directory-index,linguist;pldb,,2,1,True,False,False
xcompose,xcompose,linguist;pldb,,2,1,True,False,False
xpages,xpages,linguist;pldb,.xsp-config .xsp.metadata,2,1,True,False,False
y,y,esolang;pldb,,2,1,False,False,False
yasnippet,yasnippet,linguist;pldb,.yasnippet,2,3,True,False,False
yoptascript,yoptascript,esolang;pldb,,2,1,False,False,False
zephyr-asdl,zephyr-asdl,esolang;pldb,,2,1,False,False,False
LLVM,llvm,linguist,.ll,1,1,True,True,True
Makefile,makefile,linguist,.d .mak .make .makefile .mk .mkfile,1,4,True,True,True
mysql,mysql,pldb,,1,1,False,True,True
Visual Basic 6.0,visual-basic-6.0,linguist,.bas .cls .ctl .dsr .frm,1,6,False,True,True
Ada (programming language),ada-programming-language,wikipedia,,1,1,True,True,False
Adblock Filter List,adblock-filter-list,linguist,.txt,1,5,False,True,False
Agda (programming language),agda-programming-language,wikipedia,,1,1,True,True,False
apache,apache,pldb,,1,1,False,True,False
APL (programming language),apl-programming-language,wikipedia,,1,1,True,True,False
ASM,asm,esolang,,1,1,False,True,False
AT,at,esolang,,1,1,False,True,False
bazel,bazel,pldb,,1,1,False,True,False
bbcode,bbcode,pldb,,1,1,False,True,False
BibTeX Style,bibtex-style,linguist,.bst,1,1,False,True,False
bnf,bnf,pldb,,1,1,False,True,False
Boo (programming language),boo-programming-language,wikipedia,,1,1,True,True,False
BuildStream,buildstream,linguist,.bst,1,1,False,True,False
C (programming language),c-programming-language,wikipedia,,1,1,True,True,False
C Sharp (programming language),c-sharp-programming-language,wikipedia,,1,1,True,True,False
C-ObjDump,c-objdump,linguist,.c-objdump,1,1,True,True,False
ColdFusion CFC,coldfusion-cfc,linguist,.cfc,1,2,True,True,False
cp,cp,pldb,,1,1,False,True,False
cpp,cpp,pldb,,1,1,True,True,False
Cpp-ObjDump,cpp-objdump,linguist,.c++-objdump .c++objdump .cpp-objdump .cppobjdump .cxx-objdump,1,2,True,True,False
crmsh,crmsh,pldb,,1,1,False,True,False
Cry,cry,esolang,,1,1,False,True,False
Crystal (programming language),crystal-programming-language,wikipedia,,1,1,True,True,False
csharp,csharp,pldb,,1,1,True,True,False
Csound Document,csound-document,linguist,.csd,1,2,True,True,False
Csound Score,csound-score,linguist,.sco,1,2,True,True,False
Css script,css-script,esolang,,1,1,True,True,False
D (programming language),d-programming-language,wikipedia,,1,1,True,True,False
D-ObjDump,d-objdump,linguist,.d-objdump,1,1,True,True,False
Darcs Patch,darcs-patch,linguist,.darcspatch .dpatch,1,2,True,True,False
devicetree,devicetree,pldb,,1,1,False,True,False
DG,dg,esolang,,1,1,False,True,False
django,django,pldb,,1,1,False,True,False
DNS Zone,dns-zone,linguist,.arpa .zone,1,1,True,True,False
DO,do,esolang,,1,1,False,True,False
docker,docker,pldb,,1,1,False,True,False
dtd,dtd,pldb,,1,1,False,True,False
dts,dts,pldb,,1,1,False,True,False
duel,duel,pldb,,1,1,False,True,False
E-mail,e-mail,linguist,.eml .mbox,1,5,True,True,False
earl-grey,earl-grey,pldb,,1,1,False,True,False
Ecmarkup,ecmarkup,linguist,.html,1,2,False,True,False
Elixir (programming language),elixir-programming-language,wikipedia,,1,1,True,True,False
EML,eml,esolang,,1,1,True,True,False
Erlang (programming language),erlang-programming-language,wikipedia,,1,1,True,True,False
Execline,execline,esolang,,1,1,False,True,False
Factor (programming language),factor-programming-language,wikipedia,,1,1,True,True,False
floscript,floscript,pldb,,1,1,False,True,False
Forth (programming language),forth-programming-language,wikipedia,,1,1,True,True,False
Fortran Free Form,fortran-free-form,linguist,.f03 .f08 .f90 .f95,1,1,False,True,False
fstar,fstar,pldb,,1,1,False,True,False
Gentoo Eclass,gentoo-eclass,linguist,.eclass,1,1,True,True,False
Gettext Catalog,gettext-catalog,linguist,.po .pot,1,2,True,True,False
Go (programming language),go-programming-language,wikipedia,,1,1,True,True,False
Go Template,go-template,linguist,.gohtml .gotmpl .html.tmpl .tmpl .tpl,1,2,False,True,False
Golo (programming language),golo-programming-language,wikipedia,,1,1,True,True,False
Gosu (programming language),gosu-programming-language,wikipedia,,1,1,True,True,False
Graphviz (DOT),graphviz-dot,linguist,.dot .gv,1,1,True,True,False
HAProxy,haproxy,linguist,.cfg,1,1,True,True,False
Hexdump,hexdump,esolang,,1,1,False,True,False
HS,hs,esolang,,1,1,False,True,False
hspec,hspec,pldb,,1,1,False,True,False
HTML+EEX,html+eex,linguist,.heex .html.eex .leex,1,4,True,True,False
HTML+ERB,html+erb,linguist,.erb .erb.deface .rhtml,1,4,True,True,False
HTML+PHP,html+php,linguist,.phtml,1,1,True,True,False
Io (programming language),io-programming-language,wikipedia,,1,1,True,True,False
J (programming language),j-programming-language,wikipedia,,1,1,True,True,False
Java (programming language),java-programming-language,wikipedia,,1,1,True,True,False
JavaScript+ERB,javascript+erb,linguist,.js.erb,1,1,True,True,False
JetBrains MPS,jetbrains-mps,linguist,.mpl .mps .msd,1,2,False,True,False
jsgf,jsgf,pldb,,1,1,False,True,False
JSON,json,linguist,.4dform .4dproject .avsc .geojson .gltf .har .ice .json .json-tmlanguage .json.example .jsonl .mcmeta .sarif .tact .tfstate .tfstate.backup .topojson .webapp .webmanifest .yy .yyp,1,5,True,True,False
JSONLD,jsonld,linguist,.jsonld,1,1,True,True,False
Julia (programming language),julia-programming-language,wikipedia,,1,1,True,True,False
kid,kid,pldb,,1,1,False,True,False
Kusto,kusto,linguist,.csl .kql,1,1,False,True,False
LTspice Symbol,ltspice-symbol,linguist,.asy,1,1,True,True,False
Mask,mask,linguist,.mask,1,1,True,True,False
mcfunction,mcfunction,linguist,.mcfunction,1,1,True,True,False
mediawiki,mediawiki,pldb,,1,1,True,True,False
mime,mime,pldb,,1,1,False,True,False
MiniYAML,miniyaml,linguist,.yaml .yml,1,1,False,True,False
mips,mips,pldb,,1,1,False,True,False
Motorola 68K Assembly,motorola-68k-assembly,linguist,.asm .i .inc .s .x68,1,2,True,True,False
mscgen,mscgen,pldb,,1,1,False,True,False
NB,nb,esolang,,1,1,False,True,False
nestedtext,nestedtext,pldb,,1,1,False,True,False
Nginx,nginx,linguist,.nginx .nginxconf .vhost,1,2,True,True,False
Nim (programming language),nim-programming-language,wikipedia,,1,1,True,True,False
nixos,nixos,pldb,,1,1,False,True,False
OASv2-json,oasv2-json,linguist,.json,1,1,False,True,False
OASv2-yaml,oasv2-yaml,linguist,.yaml .yml,1,1,False,True,False
OASv3-json,oasv3-json,linguist,.json,1,1,False,True,False
OASv3-yaml,oasv3-yaml,linguist,.yaml .yml,1,1,False,True,False
Object Data Instance Notation,object-data-instance-notation,linguist,.odin,1,1,True,True,False
omg-idl,omg-idl,pldb,,1,1,False,True,False
Open Policy Agent,open-policy-agent,linguist,.rego,1,1,True,True,False
Org,org,linguist,.org,1,1,True,True,False
pacmanconf,pacmanconf,pldb,,1,1,False,True,False
peg,peg,pldb,,1,1,False,True,False
PigLatin,piglatin,linguist,.pig,1,1,True,True,False
pkgconfig,pkgconfig,pldb,,1,1,False,True,False
PLSQL,plsql,linguist,.bdy .ddl .fnc .pck .pkb .pks .plb .pls .plsql .prc .spc .sql .tpb .tps .trg .vw,1,1,True,True,False
po,po,pldb,,1,1,False,True,False
Pony (programming language),pony-programming-language,wikipedia,,1,1,True,True,False
postgresql,postgresql,pldb,,1,1,False,True,False
Proguard,proguard,linguist,.pro,1,1,True,True,False
protobuf,protobuf,pldb,,1,1,False,True,False
Public Key,public-key,linguist,.asc .pub,1,1,True,True,False
py,py,pldb,,1,1,False,True,False
Python console,python-console,linguist,,1,2,True,True,False
Python (programming language),python-programming-language,wikipedia,,1,1,True,True,False
Python traceback,python-traceback,linguist,.pytb,1,1,True,True,False
R (programming language),r-programming-language,wikipedia,,1,1,True,True,False
Raku (programming language),raku-programming-language,wikipedia,,1,1,True,True,False
Red (programming language),red-programming-language,wikipedia,,1,1,True,True,False
Resource,resource,esolang,,1,1,False,True,False
rest,rest,pldb,,1,1,False,True,False
rhtml,rhtml,pldb,,1,1,True,True,False
rita,rita,pldb,,1,1,False,True,False
Roff Manpage,roff-manpage,linguist,.1 .1in .1m .1x .2 .3 .3in .3m .3p .3pm .3qt .3x .4 .5 .6 .7 .8 .9 .man .mdoc,1,1,True,True,False
RPM Spec,rpm-spec,linguist,.spec,1,2,True,True,False
rql,rql,pldb,,1,1,False,True,False
Rs,rs,esolang,,1,1,False,True,False
Salt,salt,esolang,,1,1,False,True,False
Scala (programming language),scala-programming-language,wikipedia,,1,1,True,True,False
sh,sh,pldb,,1,1,False,True,False
ShellSession,shellsession,linguist,.sh-session,1,3,True,True,False
shex,shex,pldb,,1,1,False,True,False
Singularity,singularity,linguist,,1,1,False,True,False
snbt,snbt,pldb,,1,1,False,True,False
Soong,soong,linguist,,1,1,False,True,False
spec,spec,pldb,,1,1,False,True,False
squidconf,squidconf,pldb,,1,1,False,True,False
StringTemplate,stringtemplate,linguist,.st,1,1,False,True,False
Swift (programming language),swift-programming-language,wikipedia,,1,1,True,True,False
tap,tap,pldb,,1,1,False,True,False
Tea (programming language),tea-programming-language,wikipedia,,1,1,True,True,False
TF,tf,esolang,,1,1,False,True,False
Ti!,ti,esolang,,1,1,False,True,False
tls,tls,pldb,,1,1,False,True,False
todotxt,todotxt,pldb,,1,1,False,True,False
Tree-sitter Query,tree-sitter-query,linguist,.scm,1,2,False,True,False
ts,ts,pldb,,1,1,True,True,False
TSQL,tsql,linguist,.sql,1,1,True,True,False
TSX,tsx,linguist,.tsx,1,2,True,True,False
Unix Assembly,unix-assembly,linguist,.ms .s,1,4,True,True,False
usd,usd,pldb,,1,1,False,True,False
Vala (programming language),vala-programming-language,wikipedia,,1,1,True,True,False
verifpal,verifpal,pldb,,1,1,False,True,False
vim,vim,pldb,,1,1,False,True,False
Vim Help File,vim-help-file,linguist,.txt,1,3,False,True,False
visual-basic,visual-basic,pldb,,1,1,False,True,False
Vue,vue,linguist,.vue,1,1,True,True,False
wast,wast,pldb,,1,1,False,True,False
Wikitext,wikitext,linguist,.mediawiki .wiki .wikitext,1,3,True,True,False
Win32 Message File,win32-message-file,linguist,.mc,1,1,False,True,False
xql,xql,pldb,,1,1,False,True,False
Zig (programming language),zig-programming-language,wikipedia,,1,1,True,True,False
0815,0815,esolang,,1,1,False,False,True
4ME,4me,esolang,,1,1,False,False,True
Ant,ant,esolang,,1,1,False,False,True
Anyways,anyways,esolang,,1,1,False,False,True
biferno,biferno,pldb,,1,1,False,False,True
blz,blz,pldb,,1,1,False,False,True
bml,bml,pldb,,1,1,False,False,True
BrainIf,brainif,esolang,,1,1,False,False,True
CalScript,calscript,esolang,,1,1,False,False,True
Classic ASP,classic-asp,linguist,.asp,1,2,True,False,True
