extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,count_hyperpolyglot,count_pygments,count_rosettacode,sample_lang
.vhost,2,1,2,0,0,2,2,0,apacheconf
.w,2,1,2,0,0,2,1,0,cweb
.workflow,2,2,2,0,0,2,2,1,hcl
.yy,2,1,2,0,0,2,1,0,JSON
.2da,1,0,1,0,0,0,0,0,2-Dimensional Array
.4dform,1,0,1,0,0,1,1,0,JSON
.4dm,1,0,1,0,0,1,0,1,4D
.4dproject,1,0,1,0,0,1,1,0,JSON
.4gl,1,0,1,0,0,0,0,0,Genero 4gl
.4th,1,1,1,0,1,1,1,1,forth
.6pl,1,1,1,0,0,1,1,1,raku
.6pm,1,1,1,0,0,1,1,1,raku
.8xp,1,0,1,0,0,1,0,0,TI Program
.8xp.txt,1,0,1,0,0,1,0,0,TI Program
._coffee,1,1,1,0,0,1,1,1,coffeescript
._js,1,1,1,1,0,1,1,1,javascript
._ls,1,1,1,0,0,1,1,1,livescript
.a51,1,0,1,0,1,1,1,1,Assembly
.abap,1,1,1,1,0,1,1,1,abap
.abnf,1,1,1,0,0,1,1,0,abnf
.action,1,0,1,0,0,0,0,0,ROS Interface
.ada,1,1,1,0,0,1,1,1,ada
.adb,1,1,1,0,0,1,1,1,ada
.adml,1,1,1,0,0,1,1,0,xml
.admx,1,1,1,0,0,1,1,0,xml
.ado,1,1,1,0,0,1,1,1,stata
.adoc,1,1,1,0,0,1,1,0,asciidoc
.adp,1,1,1,0,0,1,1,1,tcl
.ads,1,1,1,0,0,1,1,1,ada
.afm,1,1,1,0,0,1,0,0,adobe-font-metrics
.agc,1,1,1,0,1,1,0,0,apollo-guidance-computer
.agda,1,1,1,0,0,1,1,1,agda
.ahk,1,1,1,0,0,1,1,1,autohotkey
.ahkl,1,1,1,0,0,1,1,1,autohotkey
.aidl,1,0,1,0,0,0,0,0,AIDL
.aj,1,1,1,1,0,1,1,1,aspectj
.ak,1,0,1,0,0,0,0,0,Aiken
.alg,1,1,1,0,0,0,1,1,algol
.als,1,0,1,0,0,1,1,0,Alloy
.ampl,1,1,1,0,0,1,1,1,ampl
.angelscript,1,1,1,0,0,1,1,1,angelscript
.anim,1,1,1,0,0,1,1,0,unity3d-asset
.ant,1,1,1,0,0,1,1,0,xml
.antlers.html,1,0,1,0,0,0,0,0,Antlers
.antlers.php,1,0,1,0,0,0,0,0,Antlers
.antlers.xml,1,0,1,0,0,0,0,0,Antlers
.apacheconf,1,1,1,0,0,1,1,0,apacheconf
.apex,1,1,1,0,0,1,1,1,apex
.apib,1,1,1,0,0,1,0,0,api-blueprint
.apl,1,1,1,0,1,1,1,1,apl
.app,1,1,1,0,0,1,1,1,erlang
.app.src,1,1,1,0,0,1,1,1,erlang
.applescript,1,1,1,1,0,1,1,1,applescript
.arc,1,1,1,0,0,1,0,1,arc
.arpa,1,0,1,0,0,1,1,0,DNS Zone
.arr,1,1,1,0,0,0,0,1,pyret
.asax,1,1,1,0,0,0,1,1,asp.net
.asciidoc,1,1,1,0,0,1,1,0,asciidoc
.ascx,1,1,1,0,0,0,1,1,asp.net
.asd,1,1,1,0,0,1,1,1,common-lisp
.asddls,1,0,1,0,0,0,0,0,ABAP CDS
.ashx,1,1,1,0,0,0,1,1,asp.net
.asl,1,0,1,0,0,0,0,0,ASL
.asmx,1,1,1,0,0,0,1,1,asp.net
.asn,1,0,1,0,0,1,1,0,ASN.1
.asn1,1,0,1,0,0,1,1,0,ASN.1
.asp,1,0,1,0,0,1,0,1,Classic ASP
.aspx,1,1,1,0,0,0,1,1,asp.net
.asset,1,1,1,0,0,1,1,0,unity3d-asset
.astro,1,1,1,0,0,0,0,1,astro
.au3,1,1,1,0,0,1,1,1,autoit
.aug,1,1,1,0,0,1,1,0,augeas
.auk,1,1,1,0,0,1,1,1,awk
.aux,1,1,1,0,0,1,1,1,tex
.avdl,1,0,1,0,0,0,0,0,Avro IDL
.avsc,1,0,1,0,0,1,1,0,JSON
.aw,1,1,1,1,0,1,1,1,php
.awk,1,1,1,0,0,1,1,1,awk
.axaml,1,1,1,0,0,1,1,0,xml
.axd,1,1,1,0,0,0,1,1,asp.net
.axi,1,1,1,0,0,1,0,0,netlinx
.axi.erb,1,0,1,0,0,1,0,0,NetLinx+ERB
.axml,1,1,1,0,0,1,1,0,xml
.axs,1,1,1,0,0,1,0,0,netlinx
.axs.erb,1,0,1,0,0,1,0,0,NetLinx+ERB
.bal,1,1,1,0,0,1,0,1,ballerina
.bash,1,0,1,0,0,1,1,0,Shell
.bat,1,0,1,0,0,1,1,1,Batchfile
.bats,1,0,1,0,0,1,1,0,Shell
.bbappend,1,1,1,0,0,1,1,0,bitbake
.bbclass,1,1,1,0,0,1,1,0,bitbake
.bbx,1,1,1,0,0,1,1,1,tex
.bdf,1,1,1,0,0,1,0,0,glyph-bitmap-distribution-format
.bdy,1,0,1,0,0,1,1,0,PLSQL
.be,1,1,1,0,0,0,1,0,berry
.befunge,1,1,1,0,1,1,1,1,befunge
.bib,1,1,1,0,0,1,1,0,bibtex
.bibtex,1,1,1,0,0,1,1,0,bibtex
.bicep,1,0,1,0,0,0,0,0,Bicep
.bicepparam,1,0,1,0,0,0,0,0,Bicep
.bison,1,1,1,0,0,1,0,0,bison
.blade,1,1,1,0,0,1,0,1,blade
.blade.php,1,1,1,0,0,1,0,1,blade
.bmx,1,1,1,0,0,1,1,1,blitzmax
.bones,1,1,1,1,0,1,1,1,javascript
.boo,1,1,1,0,0,1,1,1,boo
.boot,1,1,1,1,0,1,1,1,clojure
.bpl,1,1,1,0,0,0,1,0,boogie
.bqn,1,1,1,0,1,0,1,1,bqn
.bro,1,1,1,0,0,1,1,0,zeek
.brs,1,0,1,0,0,1,0,0,Brightscript
.bru,1,0,1,0,0,0,0,0,Bru
.bsl,1,1,1,0,0,1,0,0,1c-enterprise
.bsv,1,1,1,0,0,1,0,0,bluespec
.builder,1,1,1,0,0,1,1,1,ruby
.builds,1,1,1,0,0,1,1,0,xml
.bzl,1,1,1,1,0,1,1,0,starlark
.c,1,1,1,0,1,1,1,1,C
.c++,1,0,1,0,1,1,1,1,C++
.c++-objdump,1,0,1,0,0,1,1,0,Cpp-ObjDump
.c++objdump,1,0,1,0,0,1,1,0,Cpp-ObjDump
.c-objdump,1,0,1,0,0,1,1,0,C-ObjDump
.c3,1,1,1,0,0,0,0,1,c3
.cabal,1,0,1,0,0,1,0,0,Cabal Config
.caddyfile,1,0,1,0,0,0,0,0,Caddyfile
.capnp,1,0,1,0,0,1,1,0,Cap'n Proto
.carbon,1,1,1,0,0,0,1,0,carbon
.cats,1,1,1,0,1,1,1,1,C
.cbl,1,1,1,0,1,1,1,1,cobol
.cbx,1,1,1,0,0,1,1,1,tex
.cc,1,0,1,0,1,1,1,1,C++
.ccp,1,1,1,0,1,1,1,1,cobol
.ccproj,1,1,1,0,0,1,1,0,xml
.ccxml,1,1,1,0,0,1,1,0,xml
.cdc,1,0,1,0,0,0,0,0,Cadence
.cdf,1,0,1,0,0,1,1,1,Wolfram Language
.cds,1,0,1,0,0,0,0,0,CAP CDS
.ceylon,1,1,1,0,0,1,1,1,ceylon
.cfc,1,0,1,0,0,1,1,0,ColdFusion CFC
.cfm,1,1,1,0,0,1,1,1,coldfusion
.cfml,1,1,1,0,0,1,1,1,coldfusion
.cginc,1,1,1,0,0,1,1,0,hlsl
.chem,1,1,1,0,0,1,0,0,pic
.chpl,1,1,1,0,0,1,1,1,chapel
.chs,1,0,1,0,0,1,0,0,C2hs Haskell
.cil,1,1,1,0,0,0,0,0,cil
.circom,1,0,1,0,0,0,0,0,Circom
.cirru,1,1,1,0,0,1,1,0,cirru
.cj,1,0,1,0,0,0,0,0,Cangjie
.cjs,1,1,1,1,0,1,1,1,javascript
.cjsx,1,1,1,0,0,1,1,1,coffeescript
.ck,1,1,1,0,0,1,0,1,chuck
.cl2,1,1,1,1,0,1,1,1,clojure
.clar,1,1,1,0,0,0,0,0,clarity
.click,1,1,1,0,0,1,0,0,click
.clixml,1,1,1,0,0,1,1,0,xml
.clj,1,1,1,1,0,1,1,1,clojure
.cljc,1,1,1,1,0,1,1,1,clojure
.cljs,1,1,1,1,0,1,1,1,clojure
.cljs.hl,1,1,1,1,0,1,1,1,clojure
.cljscm,1,1,1,1,0,1,1,1,clojure
.cljx,1,1,1,1,0,1,1,1,clojure
.clp,1,1,1,0,0,1,0,1,clips
.clue,1,0,1,0,0,0,0,0,Clue
.clw,1,1,1,0,0,1,0,1,clarion
.cmake,1,1,1,0,0,1,1,1,cmake
.cmake.in,1,1,1,0,0,1,1,1,cmake
.cmd,1,0,1,0,0,1,1,1,Batchfile
.cmp,1,1,1,0,0,1,1,0,gerber-image
.cnc,1,1,1,0,0,1,1,0,g-code
.cnf,1,1,1,0,0,1,1,0,ini
.cob,1,1,1,0,1,1,1,1,cobol
.cobol,1,1,1,0,1,1,1,1,cobol
.cocci,1,1,1,0,0,1,0,0,smpl
.code-snippets,1,0,1,0,0,1,0,0,JSON with Comments
.code-workspace,1,0,1,0,0,1,0,0,JSON with Comments
.coffee,1,1,1,0,0,1,1,1,coffeescript
.coffee.md,1,1,1,0,0,1,0,0,literate-coffeescript
.com,1,1,1,0,0,1,0,1,digital-command-language
.command,1,0,1,0,0,1,1,0,Shell
.conll,1,1,1,0,0,1,0,0,conll-u
.conllu,1,1,1,0,0,1,0,0,conll-u
.containerfile,1,1,1,0,0,1,1,0,dockerfile
.cook,1,0,1,0,0,0,0,0,Cooklang
.coq,1,0,1,0,0,1,1,1,Rocq Prover
.cpp,1,0,1,0,1,1,1,1,C++
.cpp-objdump,1,0,1,0,0,1,1,0,Cpp-ObjDump
.cppm,1,0,1,0,1,1,1,1,C++
.cppobjdump,1,0,1,0,0,1,1,0,Cpp-ObjDump
.cproject,1,1,1,0,0,1,1,0,xml
.cps,1,1,1,0,0,1,1,1,component-pascal
.cpy,1,1,1,0,1,1,1,1,cobol
.cql,1,1,1,0,0,0,0,0,cql
.cr,1,1,1,0,0,1,1,1,crystal
.crc32,1,0,1,0,0,0,0,0,Checksums
.creole,1,1,1,0,0,1,0,0,creole
.cs.pp,1,0,1,0,1,1,1,1,C#
.csc,1,0,1,0,0,0,0,0,GSC
.cscfg,1,1,1,0,0,1,1,0,xml
.csd,1,0,1,0,0,1,1,0,Csound Document
.csdef,1,1,1,0,0,1,1,0,xml
.csh,1,1,1,0,0,1,1,0,tcsh
.cshtml,1,0,1,0,0,1,0,0,HTML+Razor
.cson,1,1,1,0,0,1,0,0,cson
.csproj,1,1,1,0,0,1,1,0,xml
.css,1,1,1,0,0,1,1,0,css
.csv,1,0,1,0,0,1,0,0,CSV
.csx,1,0,1,0,1,1,1,1,C#
.ct,1,1,1,0,0,1,1,0,xml
.ctl,1,0,1,0,0,0,1,1,Visual Basic 6.0
.ctp,1,1,1,1,0,1,1,1,php
.cts,1,1,1,1,0,1,1,1,typescript
.cu,1,1,1,0,0,1,1,0,cuda
.cuh,1,1,1,0,0,1,1,0,cuda
.curry,1,1,1,0,0,0,0,1,curry
.cw,1,1,1,0,1,1,1,0,redcode
.cwl,1,1,1,0,0,1,0,0,common-workflow-language
.cxx,1,0,1,0,1,1,1,1,C++
.cxx-objdump,1,0,1,0,0,1,1,0,Cpp-ObjDump
.cy,1,1,1,0,0,1,0,0,cycript
.cylc,1,0,1,0,0,0,0,0,Cylc
.cyp,1,1,1,0,0,0,1,0,cypher
.cypher,1,1,1,0,0,0,1,0,cypher
.d-objdump,1,0,1,0,0,1,1,0,D-ObjDump
.d2,1,1,1,0,0,0,0,0,d2
.dae,1,1,1,0,0,1,0,0,collada
.darcspatch,1,0,1,0,0,1,1,0,Darcs Patch
.dart,1,1,1,0,0,1,1,1,dart
.das,1,0,1,0,0,0,0,0,Daslang
.dats,1,1,1,0,0,1,0,1,ats
.db2,1,1,1,0,0,1,1,0,sqlpl
.dcl,1,1,1,0,0,1,1,1,clean
.decls,1,1,1,0,0,1,1,0,blitzbasic
.depproj,1,1,1,0,0,1,1,0,xml
.desktop,1,1,1,0,0,1,1,0,desktop
.desktop.in,1,1,1,0,0,1,1,0,desktop
.dfm,1,1,1,0,0,1,1,1,pascal
.dfy,1,1,1,0,0,0,0,1,dafny
.dhall,1,1,1,0,0,1,0,0,dhall
.di,1,1,1,0,1,1,1,1,d
.diff,1,1,1,0,0,1,1,0,diff
.dircolors,1,0,1,0,0,1,0,0,dircolors
.dita,1,1,1,0,0,1,1,0,xml
.ditamap,1,1,1,0,0,1,1,0,xml
.ditaval,1,1,1,0,0,1,1,0,xml
.djs,1,1,1,0,1,1,0,0,dogescript
.dll.config,1,1,1,0,0,1,1,0,xml
.dlm,1,1,1,0,0,1,1,1,idl
.dm,1,1,1,0,0,1,0,1,dm
.do,1,1,1,0,0,1,1,1,stata
.dockerfile,1,1,1,0,0,1,1,0,dockerfile
.dof,1,1,1,0,0,1,1,0,ini
.doh,1,1,1,0,0,1,1,1,stata
.dot,1,0,1,0,0,1,1,0,Graphviz (DOT)
.dotsettings,1,1,1,0,0,1,1,0,xml
.dpatch,1,0,1,0,0,1,1,0,Darcs Patch
.dpr,1,1,1,0,0,1,1,1,pascal
.druby,1,1,1,0,0,1,1,1,mirah
.dsl,1,0,1,0,0,0,0,0,ASL
.dsr,1,0,1,0,0,0,1,1,Visual Basic 6.0
.dtx,1,1,1,0,0,1,1,1,tex
.duby,1,1,1,0,0,1,1,1,mirah
.dwl,1,1,1,0,0,1,0,1,dataweave
.dyalog,1,1,1,0,1,1,1,1,apl
.dyl,1,1,1,0,0,1,1,1,dylan
.dylan,1,1,1,0,0,1,1,1,dylan
.dzn,1,0,1,0,0,0,0,0,MiniZinc Data
.eam.fs,1,0,1,0,0,1,0,0,Formatted
.eb,1,1,1,0,0,1,0,0,easybuild
.ebnf,1,1,1,0,0,1,1,0,ebnf
.ebuild,1,1,1,0,0,1,1,0,gentoo-ebuild
.ec,1,1,1,0,0,1,1,1,ec
.eclass,1,0,1,0,0,1,1,0,Gentoo Eclass
.eclxml,1,1,1,0,1,1,1,1,ecl
.ecr,1,0,1,0,0,1,0,0,HTML+ECR
.ect,1,1,1,0,0,1,0,0,ejs
.edc,1,1,1,0,0,1,0,0,edje-data-collection
.edge,1,0,1,0,1,0,0,0,Edge
.edgeql,1,1,1,0,0,0,0,0,edgeql
.editorconfig,1,0,1,0,0,1,0,0,EditorConfig
.edn,1,1,1,0,0,1,0,0,edn
.eh,1,1,1,0,0,1,1,1,ec
.ejs,1,1,1,0,0,1,0,0,ejs
.ejs.t,1,1,1,0,0,1,0,0,ejs
.el,1,1,1,0,0,1,1,1,emacs-lisp
.eliom,1,1,1,0,0,1,1,1,ocaml
.eliomi,1,1,1,0,0,1,1,1,ocaml
.elm,1,0,1,0,0,1,1,1,Elm
.elv,1,1,1,0,0,0,0,0,elvish
.em,1,1,1,0,0,1,0,0,emberscript
.emacs,1,1,1,0,0,1,1,1,emacs-lisp
.emacs.desktop,1,1,1,0,0,1,1,1,emacs-lisp
.emberscript,1,1,1,0,0,1,0,0,emberscript
.eml,1,0,1,0,0,1,1,0,E-mail
.env,1,0,1,0,0,0,0,0,Dotenv
.epj,1,0,1,0,0,1,0,0,Ecere Projects
.eps,1,1,1,0,0,1,1,1,postscript
.epsi,1,1,1,0,0,1,1,1,postscript
.eq,1,0,1,0,0,1,0,0,EQ
.erb,1,0,1,0,0,1,1,0,HTML+ERB
.erb.deface,1,0,1,0,0,1,1,0,HTML+ERB
.erl,1,1,1,0,0,1,1,1,erlang
.es6,1,1,1,1,0,1,1,1,javascript
.escript,1,1,1,0,0,1,1,1,erlang
.esdl,1,1,1,0,0,0,0,0,edgeql
.exs,1,1,1,0,0,1,1,1,elixir
.eye,1,1,1,0,0,1,1,1,ruby
.f03,1,0,1,0,0,0,1,0,Fortran Free Form
.f08,1,0,1,0,0,0,1,0,Fortran Free Form
.f77,1,1,1,0,0,1,1,1,fortran
.f90,1,0,1,0,0,0,1,0,Fortran Free Form
.f95,1,0,1,0,0,0,1,0,Fortran Free Form
.factor,1,1,1,0,1,1,1,1,factor
.fan,1,1,1,0,0,1,1,1,fantom
.fancypack,1,1,1,0,0,1,1,1,fancy
.fbs,1,1,1,0,0,0,0,0,flatbuffers
.fea,1,1,1,0,0,1,0,0,opentype-feature-file
.feature,1,1,1,0,0,1,1,0,gherkin
.filters,1,1,1,0,0,1,1,0,xml
.fir,1,1,1,0,0,0,0,0,firrtl
.fish,1,1,1,0,1,1,1,1,fish
.flex,1,1,1,0,0,1,0,0,jflex
.flf,1,1,1,0,0,1,0,0,figlet-font
.flix,1,1,1,0,0,0,0,0,flix
.flux,1,1,1,0,1,1,0,0,flux
.fnc,1,0,1,0,0,1,1,0,PLSQL
.fnl,1,1,1,0,0,0,1,1,fennel
.forth,1,1,1,0,1,1,1,1,forth
.fp,1,1,1,0,0,1,1,1,glsl
.fpp,1,1,1,0,0,1,1,1,fortran
.frg,1,1,1,0,0,1,1,1,glsl
.frt,1,1,1,0,1,1,1,1,forth
.fsh,1,1,1,0,0,1,1,1,glsl
.fshader,1,1,1,0,0,1,1,1,glsl
.fsi,1,1,1,0,0,1,1,1,f-sharp
.fsproj,1,1,1,0,0,1,1,0,xml
.fst,1,1,1,0,1,1,1,1,f
.fsti,1,1,1,0,1,1,1,1,f
.fsx,1,1,1,0,0,1,1,1,f-sharp
.fth,1,1,1,0,1,1,1,1,forth
.ftlh,1,1,1,0,0,1,0,0,freemarker
.fun,1,1,1,0,0,1,1,1,standard-ml
.fut,1,1,1,0,0,0,1,1,futhark
.fxh,1,1,1,0,0,1,1,0,hlsl
.fxml,1,1,1,0,0,1,1,0,xml
.fy,1,1,1,0,0,1,1,1,fancy
.g4,1,1,1,0,0,1,1,1,antlr
.gaml,1,1,1,0,0,1,0,0,gaml
.gap,1,1,1,0,0,1,1,1,gap
.gawk,1,1,1,0,0,1,1,1,awk
.gbl,1,1,1,0,0,1,1,0,gerber-image
.gbo,1,1,1,0,0,1,1,0,gerber-image
.gbp,1,1,1,0,0,1,1,0,gerber-image
.gbr,1,1,1,0,0,1,1,0,gerber-image
.gbs,1,1,1,0,0,1,1,0,gerber-image
.gco,1,1,1,0,0,1,1,0,g-code
.gcode,1,1,1,0,0,1,1,0,g-code
.gdb,1,1,1,0,0,1,0,0,gdb
.gdbinit,1,1,1,0,0,1,0,0,gdb
.gdnlib,1,0,1,0,0,0,0,0,Godot Resource
.gdns,1,0,1,0,0,0,0,0,Godot Resource
.gdshader,1,0,1,0,0,0,0,0,GDShader
.gdshaderinc,1,0,1,0,0,0,0,0,GDShader
.ged,1,0,1,0,0,0,0,0,GEDCOM
.gemspec,1,1,1,0,0,1,1,1,ruby
.geo,1,1,1,0,0,1,1,1,glsl
.geojson,1,0,1,0,0,1,1,0,JSON
.geom,1,1,1,0,0,1,1,1,glsl
.gf,1,1,1,0,0,1,0,0,grammatical-framework
.gi,1,1,1,0,0,1,1,1,gap
.gitconfig,1,1,1,0,0,1,0,0,git-config
.gitignore,1,0,1,0,0,1,0,0,Ignore List
.gjs,1,0,1,0,0,0,0,0,Glimmer JS
.gko,1,1,1,0,0,1,1,0,gerber-image
.glade,1,1,1,0,0,1,1,0,xml
.gleam,1,1,1,0,0,0,1,1,gleam
.glf,1,1,1,0,0,1,0,0,glyph
.glsl,1,1,1,0,0,1,1,1,glsl
.glslf,1,1,1,0,0,1,1,1,glsl
.glslv,1,1,1,0,0,1,1,1,glsl
.gltf,1,0,1,0,0,1,1,0,JSON
.glyphs,1,0,1,0,0,1,0,0,OpenStep Property List
.gmi,1,1,1,0,1,0,0,0,gemini
.gms,1,1,1,0,0,1,0,0,gams
