ext,source,qid,label,description,aliases,enwiki_title,wikidata_url,wikipedia_url,mime_types,instance_of_labels,instance_of_qids,suggested_label,wikidata_rank,wikipedia_note
002,wikidata,Q105867521,NUTS format,file format,,,https://www.wikidata.org/wiki/Q105867521,,application/octet-stream,file format,Q235557,,normal,
002,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
003,wikidata,Q105867521,NUTS format,file format,,,https://www.wikidata.org/wiki/Q105867521,,application/octet-stream,file format,Q235557,,normal,
003,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
004,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
005,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
006,wikidata,Q123680176,S-57 Electronic Navigational Chart 3.1,file format,,,https://www.wikidata.org/wiki/Q123680176,,,file format,Q235557,,normal,
078,wikidata,Q105857016,Game Doctor SF 7 saved game,file format,,,https://www.wikidata.org/wiki/Q105857016,,application/octet-stream,file format,Q235557,,normal,
078,wikidata,Q105857092,Game Doctor SF 3 saved game,file format,,,https://www.wikidata.org/wiki/Q105857092,,application/octet-stream,file format,Q235557,,normal,
0fn,wikidata,Q105857383,Jazz Jackrabbit font/cutscene,file format,,,https://www.wikidata.org/wiki/Q105857383,,application/octet-stream,file format,Q235557,,normal,
0sc,wikidata,Q105857383,Jazz Jackrabbit font/cutscene,file format,,,https://www.wikidata.org/wiki/Q105857383,,application/octet-stream,file format,Q235557,,normal,
1,wikidata,Q105863576,The Colony level map,file format,,,https://www.wikidata.org/wiki/Q105863576,,application/octet-stream,file format,Q235557,,normal,
1,wikidata,Q28206138,Freedom of Press Info,file format,.001; .fop,,https://www.wikidata.org/wiki/Q28206138,,,file format,Q235557,,normal,
1,wikidata,Q28206147,Freedom of Press Bitamp,file format,.001; .fop,,https://www.wikidata.org/wiki/Q28206147,,,file format,Q235557,,normal,
1,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
123,wikidata,Q105857437,Lotus 123 Worksheet (V97),file format,,,https://www.wikidata.org/wiki/Q105857437,,application/vnd.lotus-1-2-3,file format,Q235557,,normal,
123,wikidata,Q105857510,Lotus 123 Worksheet (V98),file format,,,https://www.wikidata.org/wiki/Q105857510,,application/vnd.lotus-1-2-3,file format,Q235557,,normal,
123,wikidata,Q109996260,"Lotus 1-2-3 Worksheet, version 97",file format,Lotus 123 Worksheet,,https://www.wikidata.org/wiki/Q109996260,,,file format; specification edition,Q235557; Q55155149,,normal,
123,wikidata,Q109996609,"Lotus 1-2-3 Worksheet, version 9.8 Millennium",file format,Lotus 123 Worksheet,,https://www.wikidata.org/wiki/Q109996609,,,file format; specification edition,Q235557; Q55155149,,normal,
128,wikidata,Q27967222,Soundtrakker 128 module,file format,.128,,https://www.wikidata.org/wiki/Q27967222,,,file format,Q235557,,normal,
16,wikidata,Q105858498,LSS16 SYSLINUX Splash image,file format,,,https://www.wikidata.org/wiki/Q105858498,,application/octet-stream,file format,Q235557,,normal,
16,wikidata,Q28206513,LSS16,raster image file format,.lss; .16,,https://www.wikidata.org/wiki/Q28206513,,,file format,Q235557,,normal,
1bk,wikidata,Q105857507,010 Editor bookmark,file format,,,https://www.wikidata.org/wiki/Q105857507,,,file format,Q235557,,normal,
1pif,wikidata,Q105857473,1Password encrypted data,file format,,,https://www.wikidata.org/wiki/Q105857473,,application/octet-stream,file format,Q235557,,normal,
1tl,wikidata,Q105857471,010 Editor Template List,file format,,,https://www.wikidata.org/wiki/Q105857471,,application/octet-stream,file format,Q235557,,normal,
1tm,wikidata,Q27967109,1tracker module,file format,.1tm,,https://www.wikidata.org/wiki/Q27967109,,application/octet-stream,file format,Q235557,,normal,
2,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
210,wikipedia,Q3509055,STEP file,file format,.step; .stp; .p21; Standard for the Exchange of Product model data; STEP CAD interchange format; ISO 10303-21,ISO 10303-21,https://www.wikidata.org/wiki/Q3509055,https://en.wikipedia.org/wiki/ISO_10303-21,application/octet-stream,file format; ISO standard,Q235557; Q15087423,,,
264,wikidata,Q105859958,ALRS H.264 DVR video,file format,,,https://www.wikidata.org/wiki/Q105859958,,application/octet-stream,file format,Q235557,,normal,
2bit,wikidata,Q105857441,2BIT DNA sequences (LE),file format,,,https://www.wikidata.org/wiki/Q105857441,,application/octet-stream,file format,Q235557,,normal,
2bp,wikidata,Q28207051,Pocket PC Bitmap,file format,2BP; .2bp,,https://www.wikidata.org/wiki/Q28207051,,,file format,Q235557,,normal,
2d,wikidata,Q105857671,Mahalito 2D disk image,file format,,,https://www.wikidata.org/wiki/Q105857671,,application/octet-stream,file format,Q235557,,normal,
2d,wikidata,Q105867521,NUTS format,file format,,,https://www.wikidata.org/wiki/Q105867521,,application/octet-stream,file format,Q235557,,normal,
2da,wikidata,Q105858088,Infinity Engine 2-Dimensional Array (v1.0),file format,,,https://www.wikidata.org/wiki/Q105858088,,,file format,Q235557,,normal,
2dd,wikidata,Q105857955,Mahalito 2DD disk image,file format,,,https://www.wikidata.org/wiki/Q105857955,,application/octet-stream,file format,Q235557,,normal,
2dl,wikidata,Q105857461,VersaCAD 2D Library (MS-DOS),file format,,,https://www.wikidata.org/wiki/Q105857461,,application/octet-stream,file format,Q235557,,normal,
2dm,wikidata,Q105857482,SMS 2D Mesh,file format,,,https://www.wikidata.org/wiki/Q105857482,,text/plain,file format,Q235557,,normal,
2do,wikidata,Q105857474,2Do data,file format,,,https://www.wikidata.org/wiki/Q105857474,,application/octet-stream,file format,Q235557,,normal,
2hd,wikidata,Q105857872,Mahalito 2HD disk image,file format,,,https://www.wikidata.org/wiki/Q105857872,,application/octet-stream,file format,Q235557,,normal,
2img,wikidata,Q105857462,2IMG Universal Format disk image (Apple II),file format,,,https://www.wikidata.org/wiki/Q105857462,,,file format,Q235557,,normal,
2mg,wikidata,Q105857462,2IMG Universal Format disk image (Apple II),file format,,,https://www.wikidata.org/wiki/Q105857462,,,file format,Q235557,,normal,
2sflib,wikidata,Q27966876,2SF,file format,.mini2sf; .2sflib; .smap,,https://www.wikidata.org/wiki/Q27966876,,,file format,Q235557,,normal,
3,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
32,wikidata,Q111262619,Raw Yamaha DX7 32-voice data,file format,,,https://www.wikidata.org/wiki/Q111262619,,,file format,Q235557,,normal,
360,wikidata,Q105857466,360desktop 360-degree Desktop image,file format,,,https://www.wikidata.org/wiki/Q105857466,,,file format,Q235557,,normal,
386,wikidata,Q4042979,Linear Executable,file format,.exe; .386; .dll; .sys; .vxd; LE,Linear Executable,https://www.wikidata.org/wiki/Q4042979,https://en.wikipedia.org/wiki/Linear_Executable,,exe extension associated executable fileformat,Q17560541,,normal,
386,wikidata,Q976308,VxD,device driver model used in Microsoft Windows/386,,VxD,https://www.wikidata.org/wiki/Q976308,https://en.wikipedia.org/wiki/VxD,,,,,normal,
3ad,wikidata,Q105857443,3D Construction Kit 2 Area,file format,,,https://www.wikidata.org/wiki/Q105857443,,application/octet-stream,file format,Q235557,,normal,
3bd,wikidata,Q105857497,3D Construction Kit Brushes data,file format,,,https://www.wikidata.org/wiki/Q105857497,,application/octet-stream,file format,Q235557,,normal,
3d,wikidata,Q105857438,Polyfilm 3D model,file format,,,https://www.wikidata.org/wiki/Q105857438,,application/octet-stream,file format,Q235557,,normal,
3d,wikidata,Q105857444,VersaCAD 3D drawing (MS-DOS),file format,,,https://www.wikidata.org/wiki/Q105857444,,application/octet-stream,file format,Q235557,,normal,
3d,wikidata,Q105857451,Create+Shade 3D scene,file format,,,https://www.wikidata.org/wiki/Q105857451,,application/octet-stream,file format,Q235557,,normal,
3d,wikidata,Q105857486,CAD-3D object,file format,,,https://www.wikidata.org/wiki/Q105857486,,application/octet-stream,file format,Q235557,,normal,
3d,wikidata,Q29000715,Unreal model data file,file format,_d.3d; .3d,,https://www.wikidata.org/wiki/Q29000715,,,file format,Q235557,,normal,
3d,wikidata,Q29000718,Unreal model aniv file,file format,Aniv; _a.3d; .3d,,https://www.wikidata.org/wiki/Q29000718,,,file format,Q235557,,normal,
3d2,wikidata,Q105857463,Cyber Studio CAD-3D v2 object,file format,,,https://www.wikidata.org/wiki/Q105857463,,application/octet-stream,file format,Q235557,,normal,
3da,wikidata,Q110619974,Adobe Atmosphere world (.atmo),"ASCII-based, editable file format for 3D virtual environments",.aer; .atmo; .3da; 3D Anarchy world,,https://www.wikidata.org/wiki/Q110619974,,,file format,Q235557,,normal,
3db,wikidata,Q105857436,3DMark database,file format,,,https://www.wikidata.org/wiki/Q105857436,,,file format,Q235557,,normal,
3dd,wikidata,Q105857448,3D-Calc spreadsheet,file format,,,https://www.wikidata.org/wiki/Q105857448,,application/octet-stream,file format,Q235557,,normal,
3dd,wikidata,Q105857476,Generic 3D Drafting drawing,file format,,,https://www.wikidata.org/wiki/Q105857476,,application/octet-stream,file format,Q235557,,normal,
3dd,wikidata,Q50376352,ESRI ArcGlobe Document,file format,.3dd,,https://www.wikidata.org/wiki/Q50376352,,,file format,Q235557,,normal,
3demon,wikidata,Q105857481,3-Demon project,file format,,,https://www.wikidata.org/wiki/Q105857481,,application/octet-stream,file format,Q235557,,normal,
3dl,wikidata,Q105857452,Shaper LUT,file format,,,https://www.wikidata.org/wiki/Q105857452,,text/plain,file format,Q235557,,normal,
3dl,wikidata,Q105857499,Shaper LUT (with rem),file format,,,https://www.wikidata.org/wiki/Q105857499,,text/plain,file format,Q235557,,normal,
3dm,wikidata,Q105857465,Cadent 3D Model,file format,,,https://www.wikidata.org/wiki/Q105857465,,,file format,Q235557,,normal,
3dm,wikidata,Q138464719,"Rhino 3D Model, version 6",file format,3DM 6; openNURBS 6,,https://www.wikidata.org/wiki/Q138464719,,,file format,Q235557,,normal,
3dm,wikidata,Q138464934,"Rhino 3D Model, version 7",file format,3DM 7; openNURBS 7,,https://www.wikidata.org/wiki/Q138464934,,,file format,Q235557,,normal,
3dm,wikidata,Q138465347,"Rhino 3D Model, version 8",file format,3DM 8; openNURBS 8,,https://www.wikidata.org/wiki/Q138465347,,,file format,Q235557,,normal,
3dm,wikidata,Q28919152,Rhino 3D Model,file format family,.3dm; openNURBS,,https://www.wikidata.org/wiki/Q28919152,,,file format family,Q26085352,,normal,
3dm,wikidata,Q29945404,"Rhino 3D Model, version 1",file format,".3dm; openNURBS, version 1",,https://www.wikidata.org/wiki/Q29945404,,,file format,Q235557,,normal,
3dm,wikidata,Q29945408,"Rhino 3D Model, version 2",file format,".3dm; openNURBS, version 2",,https://www.wikidata.org/wiki/Q29945408,,,file format,Q235557,,normal,
3dm,wikidata,Q29945412,"Rhino 3D Model, version 3",file format,".3dm; openNURBS, version 3",,https://www.wikidata.org/wiki/Q29945412,,,file format,Q235557,,normal,
3dm,wikidata,Q29945415,"Rhino 3D Model, version 4",file format,".3dm; openNURBS, version 4",,https://www.wikidata.org/wiki/Q29945415,,,file format,Q235557,,normal,
3dm,wikidata,Q29945416,"Rhino 3D Model, version 5",file format,".3dm; openNURBS, version 5",,https://www.wikidata.org/wiki/Q29945416,,,file format,Q235557,,normal,
3dmbak,wikidata,Q28919154,Rhino 3D Model Backup,file format,.3dmbak,,https://www.wikidata.org/wiki/Q28919154,,,file format,Q235557,,normal,
3dmf,wikidata,Q105857457,"QuickDraw 3D Metafile (binary, LE)",file format,,,https://www.wikidata.org/wiki/Q105857457,,x-world/x-3dmf,file format,Q235557,,normal,
3dmf,wikidata,Q105857495,"QuickDraw 3D Metafile (binary, BE)",file format,,,https://www.wikidata.org/wiki/Q105857495,,x-world/x-3dmf,file format,Q235557,,normal,
3dmf,wikidata,Q105857503,QuickDraw 3D Metafile (text),file format,,,https://www.wikidata.org/wiki/Q105857503,,x-world/x-3dmf,file format,Q235557,,normal,
3dmf,wikidata,Q50499145,QuickDraw 3D Metafile (ASCII),file format,.3dmf,,https://www.wikidata.org/wiki/Q50499145,,,file format,Q235557,,normal,
3dmlw,wikidata,Q105857454,3D Markup Language for Web Model,file format,,,https://www.wikidata.org/wiki/Q105857454,,application/octet-stream,file format,Q235557,,normal,
3dn,wikidata,Q105857508,Destan game data archive,file format,,,https://www.wikidata.org/wiki/Q105857508,,application/octet-stream,file format,Q235557,,normal,
3doku,wikidata,Q105857504,3Doku game,file format,,,https://www.wikidata.org/wiki/Q105857504,,,file format,Q235557,,normal,
3dp,wikidata,Q105857469,3Digi Parameters,file format,,,https://www.wikidata.org/wiki/Q105857469,,text/plain,file format,Q235557,,normal,
3ds,wikidata,Q136555964,Citrus Card Image,file format for Nintendo 3DS Game Card ROM image dump,.cci; .3ds; CCI file; 3DS file,,https://www.wikidata.org/wiki/Q136555964,,,file format; ROM image,Q235557; Q1973327,binary:other,normal,
3ds,wikidata,Q4545331,.3ds,file format used by the Autodesk 3ds Max,3DS; Autodesk 3DS Max file format; Autodesk 3D Studio; 3D Studio format; Autodesk 3DS file format; 3D Studio mesh-file format; 3D Studio,.3ds,https://www.wikidata.org/wiki/Q4545331,https://en.wikipedia.org/wiki/.3ds,application/x-3ds; image/x-3ds,file format,Q235557,,normal,
3dslash,wikidata,Q105857475,3D Slash model,file format,,,https://www.wikidata.org/wiki/Q105857475,,application/octet-stream,file format,Q235557,,normal,
3dsx,wikidata,Q105858447,Nintendo 3DS Homebrew relocatable and eXecutable binary,file format,,,https://www.wikidata.org/wiki/Q105858447,,application/octet-stream,file format,Q235557,,normal,
3dv,wikidata,Q67206683,VRML Worlds,file format,.3dv,,https://www.wikidata.org/wiki/Q67206683,,,file format,Q235557,,normal,
3dw,wikidata,Q105857505,3D World Studio model,file format,,,https://www.wikidata.org/wiki/Q105857505,,application/octet-stream,file format,Q235557,,normal,
3dxml,wikidata,Q105857477,3D XML files (unzipped),file format,,,https://www.wikidata.org/wiki/Q105857477,,,file format,Q235557,,normal,
3dxml,wikidata,Q105857483,3D XML files (zipped),file format,,,https://www.wikidata.org/wiki/Q105857483,,,file format,Q235557,,normal,
3dxml,wikidata,Q2816480,3DXML,3D file format,,3DXML,https://www.wikidata.org/wiki/Q2816480,https://en.wikipedia.org/wiki/3DXML,application/x-3dxmlplugin,file format,Q235557,,normal,
3fd,wikidata,Q105857478,3D Construction Kit Font,file format,,,https://www.wikidata.org/wiki/Q105857478,,application/octet-stream,file format,Q235557,,normal,
3fr,wikidata,Q28205340,Hasselblad 3F RAW,file format,.3fr; Hasselblad 3FR; Hasselblad RAW Image; Hasselblad Camera Raw,,https://www.wikidata.org/wiki/Q28205340,,image/x-raw-hasselblad,file format,Q235557,,normal,
3g2,wikidata,Q229762,3GP and 3G2,file format families,3GP; 3G2; 3GPP; 3GPP2; .3gp; .3g2,3GP and 3G2,https://www.wikidata.org/wiki/Q229762,https://en.wikipedia.org/wiki/3GP_and_3G2,,file format family,Q26085352,,normal,
3g2,wikidata,Q27863098,3GPP2 file format,file format,.3g2,,https://www.wikidata.org/wiki/Q27863098,,audio/3gpp2; video/3gpp2,file format,Q235557,,normal,
3ga,wikidata,Q4676210,Adaptive Multi-Rate audio codec,audio compression format optimized for speech coding,AMR; Adaptive Multi-Rate; Adaptive multi-rate compression,Adaptive Multi-Rate audio codec,https://www.wikidata.org/wiki/Q4676210,https://en.wikipedia.org/wiki/Adaptive_Multi-Rate_audio_codec,audio/AMR,file format; audio file format; audio coding format; audio codec,Q235557; Q682626; Q758871; Q2481505,binary:audio,normal,
3gp,wikidata,Q229762,3GP and 3G2,file format families,3GP; 3G2; 3GPP; 3GPP2; .3gp; .3g2,3GP and 3G2,https://www.wikidata.org/wiki/Q229762,https://en.wikipedia.org/wiki/3GP_and_3G2,,file format family,Q26085352,,normal,
3gp,wikidata,Q27863097,3GPP file format,file format,.3gp,,https://www.wikidata.org/wiki/Q27863097,,audio/3gpp; video/3gpp,file format,Q235557,,normal,
3gp,wikidata,Q337594,Advanced Audio Coding,Audio compression format from MPEG,,Advanced Audio Coding,https://www.wikidata.org/wiki/Q337594,https://en.wikipedia.org/wiki/Advanced_Audio_Coding,audio/aacp; audio/mp4a; audio/mp4a-latm; audio/mpeg4-generic; audio/mpga; audio/x-aac; audio/x-m4a; audio/x-m4b; audio/x-m4p; audio/x-mp4a-latm; audio/aac,audio file format; audio compression; lossy audio coding format,Q682626; Q830840; Q20198160,binary:audio,normal,
3gp2,wikipedia,Q229762,3GP and 3G2,file format families,3GP; 3G2; 3GPP; 3GPP2; .3gp; .3g2,3GP and 3G2,https://www.wikidata.org/wiki/Q229762,https://en.wikipedia.org/wiki/3GP_and_3G2,,file format family,Q26085352,,,
3gpp,wikidata,Q229762,3GP and 3G2,file format families,3GP; 3G2; 3GPP; 3GPP2; .3gp; .3g2,3GP and 3G2,https://www.wikidata.org/wiki/Q229762,https://en.wikipedia.org/wiki/3GP_and_3G2,,file format family,Q26085352,,normal,
3gpp2,wikidata,Q229762,3GP and 3G2,file format families,3GP; 3G2; 3GPP; 3GPP2; .3gp; .3g2,3GP and 3G2,https://www.wikidata.org/wiki/Q229762,https://en.wikipedia.org/wiki/3GP_and_3G2,,file format family,Q26085352,,normal,
3mf,wikidata,Q15029253,3D Manufacturing Format,file format,3MF; .3mf,3D Manufacturing Format,https://www.wikidata.org/wiki/Q15029253,https://en.wikipedia.org/wiki/3D_Manufacturing_Format,application/vnd.ms-package.3dmanufacturing-3dmodel+xml; application/vnd.ms-printing.printticket+xml; model/3mf,open file format; XML-based format,Q1056408; Q20155966,data:xml-like,normal,
3mm,wikidata,Q111514835,3D Movie Maker,file format,,,https://www.wikidata.org/wiki/Q111514835,,,file format,Q235557,,normal,
3od,wikidata,Q105857494,3D Construction Kit 2 Object,file format,,,https://www.wikidata.org/wiki/Q105857494,,application/octet-stream,file format,Q235557,,normal,
3pj,wikidata,Q105857445,3D Text Commander Project,file format,,,https://www.wikidata.org/wiki/Q105857445,,text/plain,file format,Q235557,,normal,
3sd,wikidata,Q105857490,3D Construction Kit Shape data (v2.x),file format,,,https://www.wikidata.org/wiki/Q105857490,,application/octet-stream,file format,Q235557,,normal,
3sl,wikidata,Q113674482,3D Landscape 2.0 File,file format,,,https://www.wikidata.org/wiki/Q113674482,,,file format,Q235557,,normal,
3wd,wikidata,Q105857500,3D Construction Kit World data,file format,,,https://www.wikidata.org/wiki/Q105857500,,application/octet-stream,file format,Q235557,,normal,
3x5,wikidata,Q105857442,3by5 source,file format,,,https://www.wikidata.org/wiki/Q105857442,,application/octet-stream,file format,Q235557,,normal,
4,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
404,wikidata,Q111262641,Muon DS404 bank file,file format,,,https://www.wikidata.org/wiki/Q111262641,,,file format,Q235557,,normal,
404,wikidata,Q111262652,Muon DS404 patch file,file format,,,https://www.wikidata.org/wiki/Q111262652,,,file format,Q235557,,normal,
411,wikidata,Q28205468,Sony Mavica 411,file format,0.411,,https://www.wikidata.org/wiki/Q28205468,,,file format,Q235557,,normal,
4bt,wikidata,Q28206193,GoDot 4-bit image,file format,.4bt; GoDot 4Bit Graphics Format,,https://www.wikidata.org/wiki/Q28206193,,,file format,Q235557,,normal,
4d,wikidata,Q105857439,Aladdin 4D Drawing (v2.x),file format,,,https://www.wikidata.org/wiki/Q105857439,,application/octet-stream,file format,Q235557,,normal,
4d,wikidata,Q105857449,Aladdin 4D Drawing (v3.x),file format,,,https://www.wikidata.org/wiki/Q105857449,,application/octet-stream,file format,Q235557,,normal,
4d,wikidata,Q105857464,Aladdin 4D Drawing (generic),file format,,,https://www.wikidata.org/wiki/Q105857464,,application/octet-stream,file format,Q235557,,normal,
4db,wikidata,Q105857450,4th Dimension database,file format,,,https://www.wikidata.org/wiki/Q105857450,,,file format,Q235557,,normal,
4df,wikidata,Q105857496,Aladdin 4D Font,file format,,,https://www.wikidata.org/wiki/Q105857496,,application/octet-stream,file format,Q235557,,normal,
4dff,wikidata,Q105857496,Aladdin 4D Font,file format,,,https://www.wikidata.org/wiki/Q105857496,,application/octet-stream,file format,Q235557,,normal,
4dosav,wikidata,Q105857493,4DO Saved state,file format,,,https://www.wikidata.org/wiki/Q105857493,,application/octet-stream,file format,Q235557,,normal,
4dp,wikidata,Q105857447,4D Paint Project,file format,,,https://www.wikidata.org/wiki/Q105857447,,application/octet-stream,file format,Q235557,,normal,
4mu,wikidata,Q105857446,Wikireader Forth program,file format,,,https://www.wikidata.org/wiki/Q105857446,,text/plain,file format,Q235557,,normal,
4pk,wikidata,Q105857472,Perfect Keyboard macro set,file format,,,https://www.wikidata.org/wiki/Q105857472,,,file format,Q235557,,normal,
4pp,wikidata,Q28206957,PhotoParade slideshow,file format,.php; .4pp,,https://www.wikidata.org/wiki/Q28206957,,application/octet-stream,file format,Q235557,,normal,
4q,wikidata,Q105863323,Quartet ST module,file format,,,https://www.wikidata.org/wiki/Q105863323,,audio/x-mod,file format,Q235557,,normal,
4q,wikidata,Q28600422,4bottle,data and file format for archiving collections of files and folders,.4q,,https://www.wikidata.org/wiki/Q28600422,,,file format,Q235557,,normal,
4xm,wikidata,Q27966964,4X IMA ADPCM,file format,.4xm,,https://www.wikidata.org/wiki/Q27966964,,,file format,Q235557,,normal,
5,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
545,wikidata,Q105857502,AIMutation skin,file format,,,https://www.wikidata.org/wiki/Q105857502,,,file format,Q235557,,normal,
565,wikidata,Q28205576,OLPC 565,file format,One Laptop Per Child 565; .565,,https://www.wikidata.org/wiki/Q28205576,,application/octet-stream,file format,Q235557,,normal,
5vw,wikidata,Q105857468,5View capture,file format,,,https://www.wikidata.org/wiki/Q105857468,,,file format,Q235557,,normal,
6,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
602,wikidata,Q10352597,602Text Document,file format,.602; Text602 Document; 602 Text file,,https://www.wikidata.org/wiki/Q10352597,,application/octet-stream,file format,Q235557,,normal,
602,wikidata,Q113481800,602 Text file 1.0-1.51,file format,602Text file 1.0-1.51,,https://www.wikidata.org/wiki/Q113481800,,,file format,Q235557,,normal,
64c,wikidata,Q105858603,C64 8x8 font bitmap,file format,,,https://www.wikidata.org/wiki/Q105858603,,application/octet-stream,file format,Q235557,,normal,
669,wikidata,Q9135198,Composer 669 module,file format,669; .669; Unis 669 module; 669 module,,https://www.wikidata.org/wiki/Q9135198,,audio/x-mod,file format,Q235557,,normal,
6pack,wikidata,Q105853919,6pack compressed data,file format,,,https://www.wikidata.org/wiki/Q105853919,,application/octet-stream,file format,Q235557,,normal,
6pk,wikidata,Q105853919,6pack compressed data,file format,,,https://www.wikidata.org/wiki/Q105853919,,application/octet-stream,file format,Q235557,,normal,
7,wikidata,Q47512572,man page,electronic documentation file format,manual page; man-page; manpage,Man page,https://www.wikidata.org/wiki/Q47512572,https://en.wikipedia.org/wiki/Man_page,text/troff; application/x-troff-man,file format,Q235557,,normal,
73i,wikidata,Q28207395,Texas Instruments picture file,file format,TI picture file; .73i; .82i; .83i; .8xi; .85i; .86i; .89i; .92i; .9xi; .v2i,,https://www.wikidata.org/wiki/Q28207395,,,file format,Q235557,,normal,
777,wikidata,Q105855097,777 compressed archive,file format,,,https://www.wikidata.org/wiki/Q105855097,,,file format,Q235557,,normal,
7z,wikidata,Q105853878,7-Zip compressed archive (v0.4),file format,,,https://www.wikidata.org/wiki/Q105853878,,application/x-7z-compressed,file format,Q235557,,normal,
7z,wikidata,Q270131,7z,family of archive file formats used by 7-Zip,.7z; 7zip; 7-zip archive; 7z format; 7z archive,7z,https://www.wikidata.org/wiki/Q270131,https://en.wikipedia.org/wiki/7z,application/x-7z-compressed,file format family,Q26085352,,normal,
7z,wikidata,Q27478555,"7z, version 0.2 (with compression methods version 4.16 beta, distributed with 7zip v4.20)",compression file format,.7z; 7zip,,https://www.wikidata.org/wiki/Q27478555,,,file format,Q235557,,normal,
