pygments_name,pygments_aliases,pygments_filenames,pygments_module
MyghtyJavascriptLexer,javascript+myghty;js+myghty,,pygments.lexers.templates
MyghtyXmlLexer,xml+myghty,,pygments.lexers.templates
NasmObjdumpLexer,objdump-nasm,*.objdump-intel,pygments.lexers.asm
NodeConsoleLexer,nodejsrepl,,pygments.lexers.javascript
NotmuchLexer,notmuch,,pygments.lexers.textfmts
NumbaIRLexer,numba_ir;numbair,*.numba_ir,pygments.lexers.numbair
NuSMVLexer,nusmv,*.smv,pygments.lexers.smv
OutputLexer,output,,pygments.lexers.special
PhixLexer,phix,*.exw,pygments.lexers.phix
PostgresConsoleLexer,psql;postgresql-console;postgres-console,,pygments.lexers.sql
PostgresExplainLexer,postgres-explain,*.explain,pygments.lexers.sql
PowerShellSessionLexer,pwsh-session;ps1con,,pygments.lexers.shell
PsyshConsoleLexer,psysh,,pygments.lexers.php
PyPyLogLexer,pypylog;pypy,*.pypylog,pygments.lexers.console
Python2Lexer,python2;py2,,pygments.lexers.python
Python2TracebackLexer,py2tb,*.py2tb,pygments.lexers.python
PythonUL4Lexer,py+ul4,*.pyul4,pygments.lexers.ul4
QlikLexer,qlik;qlikview;qliksense;qlikscript,*.qvs;*.qvw,pygments.lexers.qlik
QVToLexer,qvto;qvt,*.qvto,pygments.lexers.qvt
RagelCLexer,ragel-c,*.rl,pygments.lexers.parsers
RagelCppLexer,ragel-cpp,*.rl,pygments.lexers.parsers
RagelDLexer,ragel-d,*.rl,pygments.lexers.parsers
RagelEmbeddedLexer,ragel-em,*.rl,pygments.lexers.parsers
RagelJavaLexer,ragel-java,*.rl,pygments.lexers.parsers
RagelObjectiveCLexer,ragel-objc,*.rl,pygments.lexers.parsers
RagelRubyLexer,ragel-ruby;ragel-rb,*.rl,pygments.lexers.parsers
RawTokenLexer,,,pygments.lexers.special
RConsoleLexer,rconsole;rout,*.Rout,pygments.lexers.r
RdLexer,rd,*.Rd,pygments.lexers.r
RideLexer,ride,*.ride,pygments.lexers.ride
RNCCompactLexer,rng-compact;rnc,*.rnc,pygments.lexers.rnc
RoboconfGraphLexer,roboconf-graph,*.graph,pygments.lexers.roboconf
RoboconfInstancesLexer,roboconf-instances,*.instances,pygments.lexers.roboconf
RtsLexer,trafficscript;rts,*.rts,pygments.lexers.trafficscript
RubyConsoleLexer,rbcon;irb,,pygments.lexers.ruby
ScdocLexer,scdoc;scd,*.scd;*.scdoc,pygments.lexers.scdoc
SilverLexer,silver,*.sil;*.vpr,pygments.lexers.verification
SlurmBashLexer,slurm;sbatch,*.sl,pygments.lexers.shell
SmartGameFormatLexer,sgf,*.sgf,pygments.lexers.sgf
SnowballLexer,snowball,*.sbl,pygments.lexers.dsls
SourcePawnLexer,sp,*.sp,pygments.lexers.pawn
SourcesListLexer,debsources;sourceslist;sources.list,sources.list,pygments.lexers.installers
SqliteConsoleLexer,sqlite3,*.sqlite3-console,pygments.lexers.sql
SqlJinjaLexer,sql+jinja,*.sql;*.sql.j2;*.sql.jinja2,pygments.lexers.templates
SrcinfoLexer,srcinfo,.SRCINFO,pygments.lexers.srcinfo
SspLexer,ssp,*.ssp,pygments.lexers.templates
SystemdLexer,systemd,*.service;*.socket;*.device;*.mount;*.automount;*.swap;*.target;*.path;*.timer;*.slice;*.scope,pygments.lexers.configs
TableGenLexer,tablegen;td,*.td,pygments.lexers.tablegen
Tads3Lexer,tads3,*.t,pygments.lexers.int_fiction
TcshSessionLexer,tcshcon,,pygments.lexers.shell
TeraTermLexer,teratermmacro;teraterm;ttl,*.ttl,pygments.lexers.teraterm
TermcapLexer,termcap,termcap;termcap.src,pygments.lexers.configs
TerminfoLexer,terminfo,terminfo;terminfo.src,pygments.lexers.configs
TiddlyWiki5Lexer,tid,*.tid,pygments.lexers.markup
TlbLexer,tlb,*.tlb,pygments.lexers.tlb
TNTLexer,tnt,*.tnt,pygments.lexers.tnt
TreetopLexer,treetop,*.treetop;*.tt,pygments.lexers.parsers
TwigHtmlLexer,html+twig,*.twig,pygments.lexers.templates
TypoScriptCssDataLexer,typoscriptcssdata,,pygments.lexers.typoscript
TypoScriptHtmlDataLexer,typoscripthtmldata,,pygments.lexers.typoscript
UcodeLexer,ucode,*.u;*.u1;*.u2,pygments.lexers.unicon
UL4Lexer,ul4,*.ul4,pygments.lexers.ul4
UnixConfigLexer,unixconfig;linuxconfig,,pygments.lexers.configs
UrlEncodedLexer,urlencoded,,pygments.lexers.html
VCLSnippetLexer,vclsnippets;vclsnippet,,pygments.lexers.varnish
VCTreeStatusLexer,vctreestatus,,pygments.lexers.console
VelocityHtmlLexer,html+velocity,,pygments.lexers.templates
VelocityXmlLexer,xml+velocity,,pygments.lexers.templates
VGLLexer,vgl,*.rpf,pygments.lexers.dsls
VisualPrologGrammarLexer,visualprologgrammar,*.vipgrm,pygments.lexers.vip
WDiffLexer,wdiff,*.wdiff,pygments.lexers.diff
XmlDjangoLexer,xml+django;xml+jinja,*.xml.j2;*.xml.jinja2,pygments.lexers.templates
XmlErbLexer,xml+ruby;xml+erb,,pygments.lexers.templates
XmlPhpLexer,xml+php,,pygments.lexers.templates
XmlSmartyLexer,xml+smarty,,pygments.lexers.templates
XMLUL4Lexer,xml+ul4,*.xmlul4,pygments.lexers.ul4
XorgLexer,xorg.conf,xorg.conf,pygments.lexers.xorg
