pl_id,ext,source,strength,source_key,evidence
pl/ags-script,.id_dsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.id_ecdsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.id_ecdsa_sk,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.id_ed25519,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ags-script,.id_rsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/aheui,.aheui,pygments,primary,AheuiLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/aidl,.aidl,linguist,primary,AIDL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/aiken,.ak,linguist,primary,Aiken,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/al,.al,linguist,primary,AL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/algol,.alg,linguist,primary,ALGOL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/algol,.alg,pygments,primary,PortugolLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/algol,.portugol,pygments,secondary,PortugolLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/alloy,.als,linguist,primary,Alloy,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/alloy,.als,pygments,primary,AlloyLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/altium-designer,.outjob,linguist,primary,Altium Designer,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/altium-designer,.pcbdoc,linguist,secondary,Altium Designer,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/altium-designer,.prjpcb,linguist,secondary,Altium Designer,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/altium-designer,.schdoc,linguist,secondary,Altium Designer,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ambienttalk,.at,pygments,primary,AmbientTalkLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ampl,.ampl,linguist,primary,AMPL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ampl,.mod,linguist,secondary,AMPL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ampl,.run,pygments,primary,AmplLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/angelscript,.as,linguist,primary,AngelScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/angelscript,.angelscript,linguist,secondary,AngelScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/angelscript,.as,pygments,primary,ActionScriptLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/answer-set-programming,.lp,linguist,primary,Answer Set Programming,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/antlr,.g4,linguist,primary,ANTLR,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apache,.htaccess,pygments,primary,ApacheConfLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apacheconf,.apacheconf,linguist,primary,ApacheConf,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apacheconf,.vhost,linguist,secondary,ApacheConf,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apacheconf,.htaccess,pygments,primary,ApacheConfLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apex,.cls,linguist,primary,Apex,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apex,.apex,linguist,secondary,Apex,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apex,.trigger,linguist,secondary,Apex,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apex,.p,pygments,primary,OpenEdgeLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apex,.cls,pygments,secondary,OpenEdgeLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/api-blueprint,.apib,linguist,primary,API Blueprint,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apl,.apl,linguist,primary,APL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apl,.dyalog,linguist,secondary,APL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/apl,.apl,pygments,primary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.aplf,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.aplo,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.apln,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.aplc,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.apli,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl,.dyalog,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.apl,pygments,primary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.aplf,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.aplo,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.apln,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.aplc,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.apli,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apl-programming-language,.dyalog,pygments,secondary,APLLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/apollo-guidance-computer,.agc,linguist,primary,Apollo Guidance Computer,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/applescript,.applescript,linguist,primary,AppleScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/applescript,.scpt,linguist,secondary,AppleScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/applescript,.applescript,pygments,primary,AppleScriptLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arc,.arc,linguist,primary,Arc,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/arduino,.ino,pygments,primary,ArduinoLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arexx,.rexx,pygments,primary,RexxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arexx,.rex,pygments,secondary,RexxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arexx,.rx,pygments,secondary,RexxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arexx,.arexx,pygments,secondary,RexxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arrow,.arw,pygments,primary,ArrowLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/arturo,.art,pygments,primary,ArturoLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.asciidoc,linguist,primary,AsciiDoc,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asciidoc,.adoc,linguist,secondary,AsciiDoc,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asciidoc,.asc,linguist,secondary,AsciiDoc,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asciidoc,.asc,pygments,primary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.pem,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.id_dsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.id_ecdsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.id_ecdsa_sk,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.id_ed25519,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asciidoc,.id_rsa,pygments,secondary,AscLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asl,.asl,linguist,primary,ASL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asl,.dsl,linguist,secondary,ASL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asm,.s,pygments,primary,GasLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asn-1-2,.asn,linguist,primary,ASN.1,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asn-1-2,.asn1,linguist,secondary,ASN.1,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asn-1-2,.asn1,pygments,primary,Asn1Lexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.asax,linguist,primary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.ascx,linguist,secondary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.ashx,linguist,secondary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.asmx,linguist,secondary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.aspx,linguist,secondary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.axd,linguist,secondary,ASP.NET,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asp-net,.aspx,pygments,primary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.asax,pygments,secondary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.ascx,pygments,secondary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.ashx,pygments,secondary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.asmx,pygments,secondary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/asp-net,.axd,pygments,secondary,VbNetAspxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/aspectj,.aj,linguist,primary,AspectJ,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/aspectj,.aj,pygments,primary,AspectJLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/assembly,.asm,linguist,primary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.a51,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.i,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.inc,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.nas,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.nasm,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.s,linguist,secondary,Assembly,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/assembly,.asm,pygments,primary,NasmLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/assembly,.nasm,pygments,secondary,NasmLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/astro,.astro,linguist,primary,Astro,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asymptote,.asy,linguist,primary,Asymptote,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/asymptote,.asy,pygments,primary,AsymptoteLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/at-2,.at,pygments,primary,AmbientTalkLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ats,.dats,linguist,primary,ATS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ats,.hats,linguist,secondary,ATS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/ats,.sats,linguist,secondary,ATS,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/augeas,.aug,linguist,primary,Augeas,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/augeas,.aug,pygments,primary,AugeasLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/autohotkey,.ahk,linguist,primary,AutoHotkey,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/autohotkey,.ahkl,linguist,secondary,AutoHotkey,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/autohotkey,.ahk,pygments,primary,AutohotkeyLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/autohotkey,.ahkl,pygments,secondary,AutohotkeyLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/autoit,.au3,linguist,primary,AutoIt,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/autoit,.au3,pygments,primary,AutoItLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/avro-idl,.avdl,linguist,primary,Avro IDL,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.awk,linguist,primary,Awk,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.auk,linguist,secondary,Awk,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.gawk,linguist,secondary,Awk,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.mawk,linguist,secondary,Awk,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.nawk,linguist,secondary,Awk,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/awk,.awk,pygments,primary,AwkLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/b-formal-method,.mch,linguist,primary,B (Formal Method),https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/b4x,.bas,linguist,primary,B4X,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/b4x,.vb,pygments,primary,VbNetLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/b4x,.bas,pygments,secondary,VbNetLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/ballerina,.bal,linguist,primary,Ballerina,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bash,.sh,pygments,primary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.ksh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.bash,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.ebuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.eclass,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.exheres-0,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.exlib,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.zsh,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.bashrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.zshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.kshrc,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bash,.pkgbuild,pygments,secondary,BashLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/basic,.bas,linguist,primary,BASIC,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/basic,.bas,pygments,primary,QBasicLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/batch,.bat,pygments,primary,BatchLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/batch,.cmd,pygments,secondary,BatchLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/batchfile,.bat,linguist,primary,Batchfile,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/batchfile,.cmd,linguist,secondary,Batchfile,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/batchfile,.bat,pygments,primary,BatchLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/batchfile,.cmd,pygments,secondary,BatchLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.py,pygments,primary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.pyw,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.pyi,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.jy,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.sage,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.sc,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.sconstruct,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.sconscript,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.bzl,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.buck,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.build,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.workspace,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bazel,.tac,pygments,secondary,PythonLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bc,.bc,pygments,primary,BCLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/beef,.bf,linguist,primary,Beef,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/beef,.bf,pygments,primary,BrainfuckLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/beef,.b,pygments,secondary,BrainfuckLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/befunge,.befunge,linguist,primary,Befunge,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/befunge,.bf,linguist,secondary,Befunge,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/befunge,.befunge,pygments,primary,BefungeLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/berry,.be,linguist,primary,Berry,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/berry,.be,pygments,primary,BerryLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bibtex,.bib,linguist,primary,BibTeX,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bibtex,.bibtex,linguist,secondary,BibTeX,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bibtex,.bib,pygments,primary,BibTeXLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bibtex-style,.bst,linguist,primary,BibTeX Style,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bibtex-style,.bst,pygments,primary,BSTLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bicep,.bicep,linguist,primary,Bicep,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bicep,.bicepparam,linguist,secondary,Bicep,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bikeshed,.bs,linguist,primary,Bikeshed,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bison,.bison,linguist,primary,Bison,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bitbake,.bb,linguist,primary,BitBake,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bitbake,.bbappend,linguist,secondary,BitBake,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bitbake,.bbclass,linguist,secondary,BitBake,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bitbake,.inc,linguist,secondary,BitBake,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bitbake,.pov,pygments,primary,PovrayLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bitbake,.inc,pygments,secondary,PovrayLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/blade,.blade,linguist,primary,Blade,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/blitzbasic,.bb,linguist,primary,BlitzBasic,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/blitzbasic,.decls,linguist,secondary,BlitzBasic,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/blitzbasic,.bb,pygments,primary,BlitzBasicLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/blitzbasic,.decls,pygments,secondary,BlitzBasicLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/blitzmax,.bmx,linguist,primary,BlitzMax,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/blitzmax,.bmx,pygments,primary,BlitzMaxLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bluespec,.bsv,linguist,primary,Bluespec,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bluespec-bh,.bs,linguist,primary,Bluespec BH,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bnf,.bnf,pygments,primary,BnfLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/boa,.boa,pygments,primary,BoaLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/boo,.boo,linguist,primary,Boo,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/boo,.boo,pygments,primary,BooLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/boo-programming-language,.boo,pygments,primary,BooLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/boogie,.bpl,linguist,primary,Boogie,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/boogie,.bpl,pygments,primary,BoogieLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bqn,.bqn,linguist,primary,BQN,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bqn,.bqn,pygments,primary,BQNLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/brainfuck,.b,linguist,primary,Brainfuck,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/brainfuck,.bf,linguist,secondary,Brainfuck,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/brainfuck,.bf,pygments,primary,BrainfuckLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/brainfuck,.b,pygments,secondary,BrainfuckLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/brighterscript,.bs,linguist,primary,BrighterScript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/brightscript,.brs,linguist,primary,Brightscript,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/bro,.zeek,pygments,primary,ZeekLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bro,.bro,pygments,secondary,ZeekLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/bru,.bru,linguist,primary,Bru,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/buildstream,.bst,linguist,primary,BuildStream,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/buildstream,.bst,pygments,primary,BSTLexer,pygments.lexers._mapping.LEXERS (via master CSV)
pl/c,.c,linguist,primary,C,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/c,.cats,linguist,secondary,C,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/c,.h,linguist,secondary,C,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
pl/c,.idc,linguist,secondary,C,https://github.com/github-linguist/linguist/blob/master/lib/linguist/languages.yml
