ext,n_claimants,n_primary,n_secondary,n_unknown,primary_claimants,secondary_claimants,unknown_claimants
.c-objdump,1,1,0,0,C-ObjDump,,
.c3,1,1,0,0,c3,,
.cabal,1,1,0,0,Cabal Config,,
.caddyfile,1,1,0,0,Caddyfile,,
.cairo,2,2,0,0,cairo; Cairo Zero,,
.cake,2,0,2,0,,C#; coffeescript,
.capnp,1,1,0,0,Cap'n Proto,,
.car,1,1,0,0,Car,,
.carbon,1,1,0,0,carbon,,
.cats,1,0,1,0,,C,
.cbl,1,1,0,0,cobol,,
.cbor,1,0,0,0,,,
.cbx,1,0,1,0,,tex,
.cc,2,1,1,0,C++,cpp,
.ccd,1,1,0,0,ccd,,
.ccp,1,0,1,0,,cobol,
.ccproj,1,0,1,0,,xml,
.ccxml,1,0,1,0,,xml,
.cdc,1,1,0,0,Cadence,,
.cdf,5,2,3,0,cdf; Wolfram Language,mathematica; NB; wolfram,
.cds,1,1,0,0,CAP CDS,,
.cdxml,1,0,0,0,,,
.ceylon,1,1,0,0,ceylon,,
.cfc,2,1,0,0,ColdFusion CFC,,
.cfg,2,1,1,0,HAProxy,ini,
.cfl,1,1,0,0,cuneiform,,
.cfm,2,1,0,0,coldfusion,,
.cfml,2,1,1,0,cfml,coldfusion,
.cgi,3,0,3,0,,perl; Python; Shell,
.cginc,1,0,1,0,,hlsl,
.ch,3,1,1,0,charity,xbase,
.chai,1,1,0,0,chaiscript,,
.changes,1,0,0,0,,,
.chem,1,0,1,0,,pic,
.chpl,1,1,0,0,chapel,,
.chs,1,1,0,0,C2hs Haskell,,
.cif,1,1,0,0,cif,,
.cil,1,1,0,0,cil,,
.circ,1,1,0,0,aqasm,,
.circom,1,1,0,0,Circom,,
.cirru,1,1,0,0,cirru,,
.cj,1,1,0,0,Cangjie,,
.cjs,1,0,1,0,,javascript,
.cjsx,1,0,1,0,,coffeescript,
.ck,1,1,0,0,chuck,,
.cl,7,4,2,0,common-lisp; cool; lisp; opencl,Proguard; qmake,
.cl2,1,0,1,0,,clojure,
.cla,1,0,0,0,,,
.clar,1,1,0,0,clarity,,
.class,1,1,0,0,java,,
.clay,1,1,0,0,clay,,
.clcpp,1,0,0,0,,,
.click,1,1,0,0,click,,
.clixml,1,0,1,0,,xml,
.clj,1,1,0,0,clojure,,
.cljc,1,1,0,0,clojure,,
.cljd,1,0,0,0,,,
.cljr,1,1,0,0,clojure,,
.cljs,2,2,0,0,clojure; clojurescript,,
.cljscm,1,0,1,0,,clojure,
.cljx,1,0,1,0,,clojure,
.clo,1,1,0,0,cloe,,
.cloe,1,0,1,0,,cloe,
.clp,1,1,0,0,clips,,
.cls,7,2,4,0,apex; objectscript,OpenEdge ABL; tex; vba; Visual Basic 6.0,
.clue,1,1,0,0,Clue,,
.clw,1,1,0,0,clarion,,
.cm,1,1,0,0,Cameleon (programming language),,
.cmake,1,1,0,0,cmake,,
.cmd,4,1,3,0,rexx,batch; Batchfile; winbatch,
.cml,1,1,0,0,comal,,
.cmp,1,0,1,0,,gerber-image,
.cnc,1,0,1,0,,g-code,
.cnf,1,0,1,0,,ini,
.co2,1,0,0,0,,,
.cob,1,1,0,0,cobol,,
.cobol,1,0,1,0,,cobol,
.cobra,1,0,0,0,,,
.cocci,1,1,0,0,smpl,,
.coffee,1,1,0,0,coffeescript,,
.com,1,1,0,0,digital-command-language,,
.comal,1,0,1,0,,comal,
.command,1,0,1,0,,Shell,
.compiled,1,0,0,0,,,
.conll,1,0,1,0,,conll-u,
.conllu,1,1,0,0,conll-u,,
.cook,1,1,0,0,Cooklang,,
.coq,1,0,1,0,,Rocq Prover,
.cp,4,2,2,0,component-pascal; cp,C++; cpp,
.cpp,2,2,0,0,C++; cpp,,
.cpp-objdump,1,1,0,0,Cpp-ObjDump,,
.cppm,1,0,1,0,,C++,
.cppobjdump,1,1,0,0,Cpp-ObjDump,,
.cproject,1,0,1,0,,xml,
.cps,2,0,2,0,,component-pascal; cp,
.cpy,1,1,0,0,cobol,,
.cql,1,1,0,0,cql,,
.cr,2,2,0,0,crystal; Crystal (programming language),,
.crc32,1,1,0,0,Checksums,,
.creole,1,1,0,0,creole,,
.crmsh,1,1,0,0,crmsh,,
.croc,1,1,0,0,croc,,
.cry,2,2,0,0,Cry; cryptol,,
.cs,4,3,1,0,C Sharp (programming language); C#; csharp,smalltalk,
.csc,1,0,1,0,,GSC,
.cscfg,1,0,1,0,,xml,
.csd,1,1,0,0,Csound Document,,
.csdef,1,0,1,0,,xml,
.csh,1,0,1,0,,tcsh,
.cshtml,1,1,0,0,HTML+Razor,,
.csl,3,2,1,0,csl; Kusto,xml,
.cson,1,1,0,0,cson,,
.csproj,1,0,1,0,,xml,
.css,2,2,0,0,css; Css script,,
.csv,1,1,0,0,CSV,,
.csx,1,1,0,0,C#,,
.ct,1,0,1,0,,xml,
.ctl,2,0,1,0,,Visual Basic 6.0,
.ctp,1,0,1,0,,php,
.ctr,1,1,0,0,citrine,,
.cts,1,0,1,0,,typescript,
.ctx,1,0,0,0,,,
.cu,1,1,0,0,cuda,,
.cue,2,2,0,0,CUE; Cue Sheet,,
.cuh,1,0,1,0,,cuda,
.curry,1,1,0,0,curry,,
.cut,1,1,0,0,Cut,,
.cw,1,1,0,0,redcode,,
.cwl,1,1,0,0,common-workflow-language,,
.cxx,2,1,1,0,C++,cpp,
.cxx-objdump,1,0,1,0,,Cpp-ObjDump,
.cy,1,1,0,0,cycript,,
.cylc,1,1,0,0,Cylc,,
.cyp,1,1,0,0,cypher,,
.cypher,1,0,1,0,,cypher,
.d,4,3,1,0,d; D (programming language); dtrace,Makefile,
.d-objdump,1,1,0,0,D-ObjDump,,
.d2,1,1,0,0,d2,,
.dae,1,1,0,0,collada,,
.darcspatch,1,1,0,0,Darcs Patch,,
.dart,1,1,0,0,dart,,
.das,1,1,0,0,Daslang,,
.dat,2,2,0,0,ampl; Dat,,
.dats,1,1,0,0,ats,,
.dax,1,1,0,0,dax,,
.db2,1,0,1,0,,sqlpl,
.dbf,2,1,0,0,shapefile,,
.dbk,1,1,0,0,DocBook,,
.dcl,1,0,1,0,,clean,
.dd,1,1,0,0,d,,
.ddl,2,0,2,0,,PLSQL; sql,
.ddp,1,1,0,0,ddp,,
.deb,1,1,0,0,deb,,
.decls,1,0,1,0,,blitzbasic,
.def,5,5,0,0,d; linux-kernel-module; modula-2; NMODL; Singularity,,
.dem,1,1,0,0,dem,,
.depproj,1,0,1,0,,xml,
.der,1,0,0,0,,,
.desktop,1,1,0,0,desktop,,
.dex,1,1,0,0,dex,,
.dfm,1,0,1,0,,pascal,
.dfxp,1,0,0,0,,,
.dfy,1,1,0,0,dafny,,
.dg,1,1,0,0,DG,,
.dgn,1,1,0,0,dragoon,,
.dhall,1,1,0,0,dhall,,
.dhandler,3,0,3,0,,m4; Monkey C; Win32 Message File,
.di,2,1,1,0,d,D (programming language),
.dic,1,0,0,0,,,
.diff,2,1,1,0,diff,patch,
.dircolors,1,1,0,0,dircolors,,
.dita,1,0,1,0,,xml,
.ditamap,1,0,1,0,,xml,
.ditaval,1,0,1,0,,xml,
.dj,1,1,0,0,djot,,
.djs,1,1,0,0,dogescript,,
.djv,1,0,1,0,,djvu,
.djvu,1,1,0,0,djvu,,
.dl,1,0,0,0,,,
.dll,1,1,0,0,Pe,,
.dlm,1,0,1,0,,idl,
.dm,1,1,0,0,dm,,
.do,2,2,0,0,DO; stata,,
.docker,2,0,2,0,,docker; dockerfile,
.dockerfile,2,2,0,0,docker; dockerfile,,
.docx,1,0,1,0,,ooxml,
.dof,1,0,1,0,,ini,
.doh,1,0,1,0,,stata,
.doo,1,1,0,0,doodle,,
.dor,1,1,0,0,Geometric Description Language,,
.dot,2,1,1,0,Graphviz (DOT),dot,
.dotm,1,0,1,0,,ooxml,
.dotsettings,1,0,1,0,,xml,
.dpatch,1,1,0,0,Darcs Patch,,
.dpk,1,1,0,0,delphi,,
.dpr,2,1,1,0,delphi,pascal,
.drc,1,1,0,0,Dirac,,
.drl,1,1,0,0,drl,,
.druby,1,1,0,0,mirah,,
.drv,1,0,1,0,,Pe,
.drw,1,1,0,0,Darwin (programming language),,
.ds2,1,0,1,0,,dss,
.dsc,2,2,0,0,Debian Package Control File; DenizenScript,,
.dsf,1,1,0,0,dsd,,
.dsl,1,0,1,0,,ASL,
.dsp,2,2,0,0,faust; Microsoft Developer Studio Project,,
.dsr,1,0,1,0,,Visual Basic 6.0,
.dss,1,1,0,0,dss,,
.dtd,1,1,0,0,dtd,,
.dts,2,2,0,0,devicetree; dts,,
.dtsi,2,0,2,0,,devicetree; dts,
.dtx,1,0,1,0,,tex,
.duby,2,0,2,0,,mirah; ruby,
.duel,1,1,0,0,duel,,
.dwl,1,1,0,0,dataweave,,
.dxf,1,1,0,0,dxf,,
.dxfp,1,0,0,0,,,
.dyalog,2,0,2,0,,apl; APL (programming language),
.dyl,1,0,1,0,,dylan,
.dylan,1,1,0,0,dylan,,
.dzn,2,2,0,0,minizinc; MiniZinc Data,,
.e,3,3,0,0,e; Eiffel; euphoria,,
.eb,1,1,0,0,easybuild,,
.ebnf,1,1,0,0,ebnf,,
.ebo,1,1,0,0,Phoenix Object Basic,,
.ebuild,6,1,5,0,gentoo-ebuild,bash; Gentoo Eclass; openrc-runscript; sh; Shell,
.ec,1,1,0,0,ec,,
.ecl,3,3,0,0,ecl; ECLiPSe; prolog,,
.eclass,6,1,5,0,Gentoo Eclass,bash; gentoo-ebuild; openrc-runscript; sh; Shell,
.eclxml,1,0,1,0,,ecl,
.ecr,1,1,0,0,HTML+ECR,,
.ect,1,0,1,0,,ejs,
.edb,1,0,0,0,,,
.edc,1,1,0,0,edje-data-collection,,
.edge,1,1,0,0,Edge,,
.edgeql,1,1,0,0,edgeql,,
.editorconfig,3,1,2,0,EditorConfig,HAProxy; ini,
.edml,1,0,0,0,,,
.edn,2,2,0,0,clojure; edn,,
.edp,1,1,0,0,freefem,,
.eex,4,0,4,0,,elixir; Elixir (programming language); euphoria; HTML+EEX,
.efi,1,0,1,0,,Pe,
.eg,1,1,0,0,earl-grey,,
.egg,1,1,0,0,Egg,,
.eh,1,0,1,0,,ec,
.ein,1,1,0,0,fjolnir,,
.ejs,1,1,0,0,ejs,,
.el,1,1,0,0,emacs-lisp,,
.elc,1,1,0,0,emacs-lisp,,
.eld,1,1,0,0,easylanguage,,
.elf,1,0,1,0,,elf,
.eliom,1,0,1,0,,ocaml,
.eliomi,1,0,1,0,,ocaml,
.elm,1,1,0,0,Elm,,
.eln,1,0,0,0,,,
.elpi,1,1,0,0,elpi,,
.elv,1,1,0,0,elvish,,
.em,2,1,0,0,emberscript,,
.emacs,1,0,1,0,,emacs-lisp,
.emberscript,1,0,1,0,,emberscript,
.eml,2,2,0,0,E-mail; EML,,
.env,1,1,0,0,Dotenv,,
.epj,1,1,0,0,Ecere Projects,,
.eps,1,0,1,0,,postscript,
.epsi,1,0,1,0,,postscript,
.epub,1,1,0,0,epub,,
.eq,1,1,0,0,EQ,,
.erb,1,1,0,0,HTML+ERB,,
.erl,2,2,0,0,erlang; Erlang (programming language),,
.ero,1,1,0,0,Phoenix Object Basic,,
.es,3,0,3,0,,erlang; Erlang (programming language); javascript,
.es6,1,0,1,0,,javascript,
.escript,2,0,2,0,,erlang; Erlang (programming language),
.esdl,1,0,1,0,,edgeql,
.eto,1,1,0,0,Phoenix Object Basic,,
.eva,1,1,0,0,eva,,
.ex,4,4,0,0,elixir; Elixir (programming language); euphoria; HTML+EEX,,
.exe,3,2,1,0,.exe; Turbo Pascal,Pe,
.exec,2,2,0,0,Execline; rexx,,
.exheres-0,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.exlib,6,0,6,0,,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,
.exrc,2,0,2,0,,vim; vim-script,
.exs,4,1,3,0,elixir,Elixir (programming language); euphoria; HTML+EEX,
.exw,1,0,0,0,,,
.eye,1,0,1,0,,ruby,
.ezt,1,1,0,0,easytrieve,,
.f,3,3,0,0,filebench-wml; forth; fortran,,
.f03,2,2,0,0,fortran; Fortran Free Form,,
.f08,1,0,1,0,,Fortran Free Form,
.f77,1,0,1,0,,fortran,
.f90,2,2,0,0,fortran; Fortran Free Form,,
.f95,1,0,1,0,,Fortran Free Form,
.factor,2,2,0,0,factor; Factor (programming language),,
.fan,1,1,0,0,fantom,,
.fancypack,1,0,1,0,,fancy,
.far,1,1,0,0,far,,
.fasl,2,0,0,0,,,
.fb,1,1,0,0,forth,,
.fbs,1,1,0,0,flatbuffers,,
.fbx,1,1,0,0,fbx,,
.fc,1,1,0,0,Func,,
.fcgi,6,0,6,0,,lua; perl; php; Python; ruby; Shell,
.fea,1,1,0,0,opentype-feature-file,,
.feather,1,1,0,0,Feather,,
.feature,1,1,0,0,gherkin,,
.fhtml,1,0,1,0,,Velocity Template Language,
.fig,1,0,0,0,,,
.filters,1,0,1,0,,xml,
.fir,1,1,0,0,firrtl,,
.fish,1,1,0,0,fish,,
.fjo,1,1,0,0,fjolnir,,
.fjv,1,1,0,0,fjolnir,,
.flex,1,1,0,0,jflex,,
.flf,1,1,0,0,figlet-font,,
.flix,1,1,0,0,flix,,
.flo,1,1,0,0,floscript,,
.flux,1,0,1,0,,flux,
.flx,1,1,0,0,felix,,
.flxh,1,0,1,0,,felix,
.fnc,1,0,1,0,,PLSQL,
.fnl,1,1,0,0,fennel,,
.for,3,2,1,0,Formatted; fortran,forth,
.forth,1,1,0,0,forth,,
.fossil,1,1,0,0,fossil,,
.fountain,2,1,0,0,Fountain,,
.fp,1,0,1,0,,glsl,
.fpp,1,0,1,0,,fortran,
.fprg,1,0,0,0,,,
.fr,3,1,2,0,frege,forth; Text,
.fr3,1,0,0,0,,,
.frag,2,0,2,0,,glsl; javascript,
.frg,1,0,1,0,,glsl,
.frink,1,0,0,0,,,
.frm,4,0,3,0,,ini; vba; Visual Basic 6.0,
.frt,3,3,0,0,filterscript; forth; Forth (programming language),,
.frx,1,0,0,0,,,
.fs,5,3,2,0,f-sharp; filterscript; forth,Forth (programming language); glsl,
.fsh,1,0,1,0,,glsl,
.fshader,1,0,1,0,,glsl,
.fsi,1,1,0,0,f-sharp,,
.fsproj,1,0,1,0,,xml,
.fsscript,1,1,0,0,f-sharp,,
.fst,2,2,0,0,f; fstar,,
.fsti,2,0,2,0,,f; fstar,
.fsx,1,1,0,0,f-sharp,,
.fth,1,1,0,0,forth,,
.ftl,2,2,0,0,Fluent; freemarker,,
.ftlh,1,0,1,0,,freemarker,
.ftlx,1,0,0,0,,,
.fun,2,0,2,0,,SML; standard-ml,
.func,1,0,1,0,,Func,
.fut,1,1,0,0,futhark,,
.fwt,1,0,0,0,,,
.fx,2,1,1,0,flux,hlsl,
.fxh,1,0,1,0,,hlsl,
.fxml,2,1,1,0,fxml,xml,
.fy,1,1,0,0,fancy,,
.fzn,1,1,0,0,minizinc,,
.g,2,2,0,0,g-code; gap,,
.g4,1,1,0,0,antlr,,
.gaml,1,1,0,0,gaml,,
.gap,1,0,1,0,,gap,
.gawk,1,0,1,0,,awk,
.gbl,1,0,1,0,,gerber-image,
.gbo,1,0,1,0,,gerber-image,
.gbp,1,0,1,0,,gerber-image,
.gbr,1,1,0,0,gerber-image,,
.gbs,1,0,1,0,,gerber-image,
.gco,1,0,1,0,,g-code,
.gcode,1,1,0,0,g-code,,
.gd,2,2,0,0,gap; gdscript,,
.gdb,1,1,0,0,gdb,,
.gdbinit,1,0,1,0,,gdb,
.gdl,3,1,0,0,Geometric Description Language,,
.gdnlib,1,1,0,0,Godot Resource,,
.gdns,1,0,1,0,,Godot Resource,
.gdshader,1,1,0,0,GDShader,,
.gdshaderinc,1,0,1,0,,GDShader,
.ged,1,1,0,0,GEDCOM,,
.gemfile,2,0,2,0,,mirah; ruby,
.gemspec,2,0,2,0,,mirah; ruby,
.geo,1,0,1,0,,glsl,
.geojson,2,1,1,0,geojson,JSON,
.geom,1,0,1,0,,glsl,
.gexf,1,1,0,0,GEXF,,
.gf,1,1,0,0,grammatical-framework,,
.gi,1,1,0,0,gap,,
.gif,1,1,0,0,gif,,
.gift,1,1,0,0,GIFt,,
.gitconfig,1,1,0,0,git-config,,
.gitignore,2,2,0,0,gitignore; Ignore List,,
.gjs,1,1,0,0,Glimmer JS,,
.gko,1,0,1,0,,gerber-image,
.glade,1,0,1,0,,xml,
.gleam,1,1,0,0,gleam,,
.glf,1,1,0,0,glyph,,
.glsl,1,1,0,0,glsl,,
.glslf,1,0,1,0,,glsl,
.glslv,1,0,1,0,,glsl,
.gltf,2,1,1,0,gltf,JSON,
.glyphs,1,0,1,0,,OpenStep Property List,
.gmi,2,2,0,0,gemini; gemtext,,
.gml,5,3,2,0,game-maker-language; GML; graph-modeling-language,gerber-image; xml,
.gms,1,1,0,0,gams,,
.gmx,1,0,1,0,,xml,
.gn,1,1,0,0,GN,,
.gni,1,0,1,0,,GN,
.gnu,1,0,1,0,,gnuplot,
.gnumakefile,2,0,2,0,,make; Makefile,
.gnuplot,1,0,1,0,,gnuplot,
.go,2,2,0,0,go; Go (programming language),,
.god,1,0,1,0,,ruby,
.gohtml,1,1,0,0,Go Template,,
.golo,2,2,0,0,golo; Golo (programming language),,
.gotmpl,1,0,1,0,,Go Template,
.gp,1,1,0,0,gnuplot,,
.gpb,1,0,1,0,,gerber-image,
.gpml,1,0,0,0,,,
.gps,1,0,0,0,,,
.gpt,1,0,1,0,,gerber-image,
.gpx,1,0,1,0,,xml,
.gql,1,0,1,0,,GraphQL,
.grace,1,1,0,0,grace,,
.gradle,2,1,1,0,gradle,groovy,
.graphql,1,1,0,0,GraphQL,,
.graphqls,1,0,1,0,,GraphQL,
.groovy,3,3,0,0,Apache Groovy; gradle; groovy,,
.grt,1,0,1,0,,groovy,
.grxml,1,0,1,0,,xml,
.gs,6,4,2,0,genie; gosu; Gosu (programming language); groovy-server-pages,glsl; javascript,
.gsc,1,1,0,0,GSC,,
.gsh,2,1,1,0,Apache Groovy,GSC,
.gshader,1,0,1,0,,glsl,
.gsm,1,1,0,0,Geometric Description Language,,
.gsp,4,1,3,0,groovy-server-pages,genie; gosu; Gosu (programming language),
.gsql,1,1,0,0,gsql,,
.gst,2,0,2,0,,gosu; xml,
.gsx,4,0,4,0,,genie; gosu; Gosu (programming language); groovy-server-pages,
.gtl,1,0,1,0,,gerber-image,
.gto,1,0,1,0,,gerber-image,
.gtp,1,0,1,0,,gerber-image,
.gtpl,1,0,1,0,,groovy,
