pl_id,field,value,source,evidence
pl/actionscript,first_appeared,1998,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,influenced_by,HyperTalk,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,influenced_by,JavaScript,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/actionscript,influenced_by,Java,wikipedia,https://en.wikipedia.org/wiki/ActionScript
pl/ada,paradigms,multi-paradigm: structured,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,object-oriented,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,aspect-oriented,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,concurrent,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,array,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,distributed,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,generic,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,procedural,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,paradigms,meta,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,typing,"static, strong, safe, nominal",wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,designed_by,MIL-STD-1815,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,designed_by,Ada 83: Jean Ichbiah,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,designed_by,Ada 95: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,designed_by,Ada 2005: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,designed_by,Ada 2012: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,first_appeared,1980,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,ALGOL 68,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,Pascal,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,Simula 67,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,C++ (Ada 95),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,Smalltalk (Ada 95),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,Modula-2 (Ada 95) Java (Ada 2005),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,influenced_by,Eiffel (Ada 2012),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada,homepage,https://www.adaic.org/,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,multi-paradigm: structured,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,object-oriented,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,aspect-oriented,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,concurrent,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,array,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,distributed,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,generic,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,procedural,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,paradigms,meta,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,typing,"static, strong, safe, nominal",wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,designed_by,MIL-STD-1815,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,designed_by,Ada 83: Jean Ichbiah,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,designed_by,Ada 95: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,designed_by,Ada 2005: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,designed_by,Ada 2012: Tucker Taft,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,first_appeared,1980,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,ALGOL 68,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,Pascal,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,Simula 67,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,C++ (Ada 95),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,Smalltalk (Ada 95),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,Modula-2 (Ada 95) Java (Ada 2005),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,influenced_by,Eiffel (Ada 2012),wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/ada-programming-language,homepage,https://www.adaic.org/,wikipedia,https://en.wikipedia.org/wiki/Ada_(programming_language)
pl/agda,paradigms,total functional,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,typing,"strong, static, dependent, nominal, manifest, inferred",wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,designed_by,Chalmers University of Technology,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,designed_by,Ulf Norell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,designed_by,Catarina Coquand (1.0),wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,first_appeared,1999,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,influenced_by,Rocq,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,influenced_by,Epigram,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,influenced_by,Haskell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,license,BSD-like,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,implementation_languages,Haskell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda,homepage,https://wiki.portal.chalmers.se/agda,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,paradigms,total functional,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,typing,"strong, static, dependent, nominal, manifest, inferred",wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,designed_by,Chalmers University of Technology,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,designed_by,Ulf Norell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,designed_by,Catarina Coquand (1.0),wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,first_appeared,1999,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,influenced_by,Rocq,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,influenced_by,Epigram,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,influenced_by,Haskell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,license,BSD-like,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,implementation_languages,Haskell,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agda-programming-language,homepage,https://wiki.portal.chalmers.se/agda,wikipedia,https://en.wikipedia.org/wiki/Agda_(programming_language)
pl/agentspeak,paradigms,agent-oriented,wikipedia,https://en.wikipedia.org/wiki/AgentSpeak
pl/agentspeak,designed_by,Anand Rao,wikipedia,https://en.wikipedia.org/wiki/AgentSpeak
pl/agentspeak,first_appeared,1996,wikipedia,https://en.wikipedia.org/wiki/AgentSpeak
pl/aiml,designed_by,Dr. Richard S. Wallace,wikipedia,https://en.wikipedia.org/wiki/Artificial_Intelligence_Markup_Language
pl/aiml,first_appeared,2001,wikipedia,https://en.wikipedia.org/wiki/Artificial_Intelligence_Markup_Language
pl/aiml,homepage,http://www.aiml.foundation/doc.html,wikipedia,https://en.wikipedia.org/wiki/Artificial_Intelligence_Markup_Language
pl/aimms,designed_by,AIMMS B.V. (formerly named Paragon Decision Technology B.V.),wikipedia,https://en.wikipedia.org/wiki/AIMMS
pl/aimms,designed_by,Johannes J. Bisschop Marcel Roelofs,wikipedia,https://en.wikipedia.org/wiki/AIMMS
pl/aimms,first_appeared,1993,wikipedia,https://en.wikipedia.org/wiki/AIMMS
pl/aimms,homepage,https://www.aimms.com/,wikipedia,https://en.wikipedia.org/wiki/AIMMS
pl/aldor,paradigms,multi-paradigm: object-oriented,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,paradigms,functional,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,paradigms,dependent typed,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,paradigms,logic,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Thomas J. Watson Research Center,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Richard Dimick Jenks,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Barry Trager,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Stephen Watt,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,James Davenport,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Robert Sutor,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,designed_by,Scott Morrison,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,first_appeared,1990,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,influenced_by,A#,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,influenced_by,Pascal,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,influenced_by,Haskell,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,license,"Aldor Public 2.0, Apache 2.0",wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/aldor,homepage,https://aldor.org,wikipedia,https://en.wikipedia.org/wiki/Aldor
pl/alef,paradigms,compiled,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,paradigms,concurrent,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,paradigms,structured,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,typing,"static, strong",wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,designed_by,Phil Winterbottom,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,first_appeared,1992,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,influenced_by,C,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alef,influenced_by,Newsqueak,wikipedia,https://en.wikipedia.org/wiki/Alef_(programming_language)
pl/alembic,designed_by,Sony Pictures Imageworks (Sony Pictures Entertainment) Industrial Light,wikipedia,https://en.wikipedia.org/wiki/Alembic_(computer_graphics)
pl/alembic,designed_by,Magic (Lucasfilm),wikipedia,https://en.wikipedia.org/wiki/Alembic_(computer_graphics)
pl/alembic,first_appeared,2011,wikipedia,https://en.wikipedia.org/wiki/Alembic_(computer_graphics)
pl/alembic,homepage,http://www.alembic.io/,wikipedia,https://en.wikipedia.org/wiki/Alembic_(computer_graphics)
pl/alf,paradigms,multi-paradigm: logic,wikipedia,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
pl/alf,paradigms,functional,wikipedia,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
pl/alf,influenced_by,Prolog,wikipedia,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
pl/alf,homepage,http://www.informatik.uni-kiel.de/~mh/systems/ALF,wikipedia,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
pl/algo,paradigms,procedural,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,paradigms,structured,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,typing,"static, strong",wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,designed_by,Bendix Corporation,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,first_appeared,1961,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,influenced_by,ALGOL 58,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algo,implementation_languages,Assembly,wikipedia,https://en.wikipedia.org/wiki/ALGO
pl/algol,paradigms,procedural,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,paradigms,structured,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,typing,"static, strong",wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Bauer,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Bottenbruch,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Rutishauser,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Samelson,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Backus,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Katz,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Perlis,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Wegstein,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Naur,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Vauquois,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,van Wijngaarden,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Woodger,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,Green,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,designed_by,McCarthy,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/algol,first_appeared,1958,wikipedia,https://en.wikipedia.org/wiki/ALGOL
pl/alice,paradigms,multi-paradigm: imperative,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,paradigms,functional,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,paradigms,distributed,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,paradigms,concurrent,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,paradigms,constraint,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,typing,"strong, static, inferred",wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,designed_by,Saarland University,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,first_appeared,2000,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,influenced_by,ML,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,influenced_by,Oz,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,license,MIT,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alice,homepage,http://www.ps.uni-saarland.de/alice,wikipedia,https://en.wikipedia.org/wiki/Alice_(programming_language)
pl/alma-0,paradigms,multi-paradigm: constraint,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,paradigms,imperative,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,paradigms,logic,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,typing,static,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Centrum Wiskunde,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Informatica,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Krzysztof Apt,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Marc Bezem,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Jacob Brunekreef,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Vincent Partington,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,designed_by,Andrea Schaerf,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,first_appeared,1997,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,influenced_by,Modula-2,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/alma-0,homepage,http://www.cwi.nl/en/alma,wikipedia,https://en.wikipedia.org/wiki/Alma-0
pl/altran,designed_by,Bell Telephone Laboratories,wikipedia,https://en.wikipedia.org/wiki/ALTRAN
pl/altran,designed_by,W. Stanley Brown,wikipedia,https://en.wikipedia.org/wiki/ALTRAN
pl/altran,first_appeared,1965,wikipedia,https://en.wikipedia.org/wiki/ALTRAN
pl/altran,influenced_by,FORTRAN,wikipedia,https://en.wikipedia.org/wiki/ALTRAN
pl/altran,influenced_by,PL/I,wikipedia,https://en.wikipedia.org/wiki/ALTRAN
pl/ambienttalk,paradigms,object-oriented (prototype-based),wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,paradigms,concurrent,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,paradigms,event-driven,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,paradigms,reflective,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,typing,"dynamic, strong",wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,Software Languages Lab,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,University of Brussels,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,Tom Van Cutsem,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,Stijn Mostinckx,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,Jessie Dedecker,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,designed_by,Wolfgang De Meuter,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,first_appeared,2006,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,influenced_by,Smalltalk,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,influenced_by,Self,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,influenced_by,Scheme,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,influenced_by,E,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,influenced_by,ABCL,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,license,MIT License,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambienttalk,homepage,https://soft.vub.ac.be/amop,wikipedia,https://en.wikipedia.org/wiki/AmbientTalk
pl/ambit,designed_by,Carlos Christensen,wikipedia,https://en.wikipedia.org/wiki/AMBIT
pl/ambit,first_appeared,1964,wikipedia,https://en.wikipedia.org/wiki/AMBIT
pl/ambit,influenced_by,ALGOL 60,wikipedia,https://en.wikipedia.org/wiki/AMBIT
pl/amf,designed_by,ASTM / ISO,wikipedia,https://en.wikipedia.org/wiki/Additive_manufacturing_file_format
pl/amf,first_appeared,2011,wikipedia,https://en.wikipedia.org/wiki/Additive_manufacturing_file_format
pl/amigabasic,designed_by,Microsoft,wikipedia,https://en.wikipedia.org/wiki/Amiga_Basic
pl/amigabasic,first_appeared,1985,wikipedia,https://en.wikipedia.org/wiki/Amiga_Basic
