heuristic_id,applies_to_ext,priority,predicts_language,predicts_pl_id,pattern_kind,predicates_json,source
h/linguist/.9/0,.9,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.9/1,.9,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.9/2,.9,2,Roff,pl/roff,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\.(?:[A-Za-z]{2}(?:\\s|$)|\\\\\"")""]}]",linguist/heuristics.yml
h/linguist/.9/3,.9,3,Text,pl/text,default,[],linguist/heuristics.yml
h/linguist/.1in/0,.1in,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.1in/1,.1in,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.1in/2,.1in,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.1m/0,.1m,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.1m/1,.1m,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.1m/2,.1m,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.1x/0,.1x,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.1x/1,.1x,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.1x/2,.1x,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3in/0,.3in,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3in/1,.3in,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3in/2,.3in,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3m/0,.3m,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3m/1,.3m,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3m/2,.3m,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3p/0,.3p,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3p/1,.3p,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3p/2,.3p,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3pm/0,.3pm,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3pm/1,.3pm,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3pm/2,.3pm,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3qt/0,.3qt,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3qt/1,.3qt,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3qt/2,.3qt,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.3x/0,.3x,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.3x/1,.3x,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.3x/2,.3x,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.man/0,.man,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.man/1,.man,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.man/2,.man,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.mdoc/0,.mdoc,0,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dd +(?:[^\""\\s]+|\""[^\""]+\"")""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Dt +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*Sh +(?:[^\""\\s]|\""[^\""]+\"")""]}]",linguist/heuristics.yml
h/linguist/.mdoc/1,.mdoc,1,Roff Manpage,pl/roff-manpage,predicates,"[{""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*TH +(?:[^\""\\s]+|\""[^\""]+\"") +\""?(?:[1-9]|@[^\\s@]+@)""]}, {""kind"": ""any"", ""regexes"": [""^[.'][ \\t]*SH +(?:[^\""\\s]+|\""[^\""\\s]+)""]}]",linguist/heuristics.yml
h/linguist/.mdoc/2,.mdoc,2,Roff,pl/roff,default,[],linguist/heuristics.yml
h/linguist/.action/0,.action,0,ROS Interface,pl/ros-interface,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^[a-z]\\w*(?:\\/[a-z]\\w*)?(?:<=\\d+)?(?:\\[(?:<=\\d+)?\\])?\\s+\\w+\\b""]}, {""kind"": ""any"", ""regexes"": [""^---\\s*$""]}, {""kind"": ""not_any"", ""regexes"": [""^\\s*[^\\s@#\\w-]""]}]",linguist/heuristics.yml
h/linguist/.al/0,.al,0,AL,pl/al,predicates,"[{""kind"": ""any"", ""regexes"": [""\\b(?i:(CODEUNIT|PAGE|PAGEEXTENSION|PAGECUSTOMIZATION|DOTNET|ENUM|ENUMEXTENSION|VALUE|QUERY|REPORT|TABLE|TABLEEXTENSION|XMLPORT|PROFILE|CONTROLADDIN|REPORTEXTENSION|INTERFACE|PERMISSIONSET|PERMISSIONSETEXTENSION|ENTITLEMENT))\\b""]}]",linguist/heuristics.yml
h/linguist/.al/1,.al,1,Perl,pl/perl,default,[],linguist/heuristics.yml
h/linguist/.alg/0,.alg,0,ALGOL,pl/algol,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^comment\\b.*(;|comment)"", ""^#[^#\\r\\n]+#$"", ""(?i)\\b(integer|real|boolean|string)\\b\\s+\\w+\\s*:=\\s*"", ""(?i)^begin[\\s\\S]*^end""]}]",linguist/heuristics.yml
h/linguist/.app/0,.app,0,Erlang,pl/erlang,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\{\\s*(?:application|'application')\\s*,\\s*(?:[a-z]+[\\w@]*|'[^']+')\\s*,\\s*\\[(?:.|[\\r\\n])*\\]\\s*\\}\\.[ \\t]*$""]}]",linguist/heuristics.yml
h/linguist/.as/0,.as,0,ActionScript,pl/actionscript,predicates,"[{""kind"": ""any"", ""regexes"": [""^\\s*(?:package(?:\\s+[\\w.]+)?\\s+(?:\\{|$)|import\\s+[\\w.*]+\\s*;|(?:intrinsic\\s+)class\\s+[\\w<>.]+|\\s+class\\s+extends\\s+[\\w<>.]+|(?:(?:public|protected|private|static)\\s+)*(?:(?:var|const|local)\\s+\\w+\\s*:\\s*[\\w<>.]+(?:\\s*=.*)?\\s*;|function\\s+\\w+\\s*\\((?:\\s*\\w+\\s*:\\s*[\\w<>.]+\\s*(,\\s*\\w+\\s*:\\s*[\\w<>.]+\\s*)*)?\\)))""]}]",linguist/heuristics.yml
h/linguist/.asc/0,.asc,0,Public Key,pl/public-key,predicates,"[{""kind"": ""any"", ""regexes"": [""^(----[- ]BEGIN|ssh-(rsa|dss)) ""]}]",linguist/heuristics.yml
h/linguist/.asc/1,.asc,1,AsciiDoc,pl/asciidoc,predicates,"[{""kind"": ""any"", ""regexes"": [""^[=-]+\\s|\\{\\{[A-Za-z]""]}]",linguist/heuristics.yml
h/linguist/.asc/2,.asc,2,AGS Script,pl/ags-script,predicates,"[{""kind"": ""any"", ""regexes"": [""^(\\/\\/.+|((import|export)\\s+)?(function|int|float|char)\\s+((room|repeatedly|on|game)_)?([A-Za-z]+[A-Za-z_0-9]+)\\s*[;\\(])""]}]",linguist/heuristics.yml
h/linguist/.asm/0,.asm,0,Assembly,pl/assembly,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)mov\\s+[^\\s]{2,},""]}]",linguist/heuristics.yml
h/linguist/.asm/1,.asm,1,Motorola 68K Assembly,pl/motorola-68k-assembly,predicates,"[{""kind"": ""any"", ""regexes"": [""(?im)\\bmoveq(?:\\.l)?\\s+#(?:\\$-?[0-9a-f]{1,3}|%[0-1]{1,8}|-?[0-9]{1,3}),\\s*d[0-7]\\b"", ""(?im)^\\s*move(?:\\.[bwl])?\\s+(?:sr|usp),\\s*[^\\s]+"", ""(?im)^\\s*move\\.[bwl]\\s+.*\\b[ad]\\d"", ""(?im)^\\s*movem\\.[bwl]\\b"", ""(?im)^\\s*move[mp](?:\\.[wl])?\\b"", ""(?im)^\\s*btst\\b"", ""(?im)^\\s*dbra\\b""]}]",linguist/heuristics.yml
h/linguist/.asy/0,.asy,0,LTspice Symbol,pl/ltspice-symbol,predicates,"[{""kind"": ""any"", ""regexes"": [""^SymbolType[ \\t]""]}]",linguist/heuristics.yml
h/linguist/.asy/1,.asy,1,Asymptote,pl/asymptote,default,[],linguist/heuristics.yml
h/linguist/.bas/0,.bas,0,B4X,pl/b4x,predicates,"[{""kind"": ""any"", ""regexes"": [""\\A\\W{0,3}(?:.*(?:\\r?\\n|\\r)){0,9}B4(?:J|A|R|i)=true""]}]",linguist/heuristics.yml
h/linguist/.bas/1,.bas,1,FreeBASIC,pl/freebasic,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^[ \\t]*#(?:define|endif|endmacro|ifn?def|include|lang|macro|pragma)(?:$|\\s)"", ""(?i)^[ \\t]*dim( shared)? [a-z_][a-z0-9_]* as [a-z_][a-z0-9_]* ptr""]}]",linguist/heuristics.yml
h/linguist/.bas/2,.bas,2,FreeBASIC,pl/freebasic,predicates,"[{""kind"": ""any"", ""regexes"": [""(?i)^[ \\t]*return ""]}, {""kind"": ""not_any"", ""regexes"": [""(?i)[ \\t]*gosub ""]}]",linguist/heuristics.yml
h/linguist/.bas/3,.bas,3,BASIC,pl/basic,predicates,"[{""kind"": ""any"", ""regexes"": [""\\A\\s*\\d""]}]",linguist/heuristics.yml
